index	Transcript	A8JQ	A8AZ	A823	A822	A821	A820	A81W	A81V	A81T	A81S	A81R	A81Q	A81P	A81N	A81M	A81K	A81J	A81I	A81H	A81G	A81F	A81E	A81D	A81A	A819	A818	A817	A816	A815	A814	A80Y	A80V	A80Q	A80P	A80O	A80N	A80M	A80L	A80K	A7X2	A7X1	A7X0	A7WX	A7WW	A7WV	A7WU	A7WT	A7WR	A7WQ	A7WP	A7WO	A7WN	A7WM	A7WL	A7UY	A7U0	A7IP	A7IN	A7HH	A7HF	A7HE	A7HD	A7HC	A7HB	A7HA	A7H7	A7H5	A7D0	A7CZ	A70X	A70W	A70V	A70U	A70T	A70R	A70Q	A70P	A70O	A70N	A70M	A70K	A70J	A70I	A70H	A70G	A70E	A70D	A70C	A70A	A708	A707	A706	A705	A703	A702	A700	A6ZZ	A6YP	A6YO	A6YN	A6YK	A6YJ	A6YC	A6YA	A6Y9	A6RY	A6RX	A6QK	A6QJ	A6QI	A6QH	A6QG	A6QF	A6QD	A6QC	A6N0	A6MZ	A6MY	A6MV	A6MU	A6MT	A6MS	A6MR	A6MQ	A6MP	A6I6	A6H6	A6H5	A6H4	A6H3	A6H2	A6H1	A6H0	A6GY	A6GX	A6GW	A6GU	A6GT	A6GS	A6GR	A6GO	A6C2	A69Q	A68W	A68T	A68G	A68F	A68D	A68C	A68B	A68A	A689	A688	A685	A684	A681	A680	A67Y	A67X	A67W	A67V	A5XP	A5XO	A5XN	A5XM	A5XL	A5XK	A5XJ	A5PH	A5PG	A5PF	A5NX	A6MX	A6I4	A6GZ	A686	A5NY	A5KD	A5KC
S100A10	S100A10-002	197.53900000000002	108.235	118.148	57.5948	66.1847	159.644	56.1711	36.2253	95.1557	74.2006	21.7367	236.727	49.428999999999995	288.508	5.13581	67.0925	173.584	27.1999	137.733	115.75299999999999	178.989	35.4466	43.5976	39.1533	93.5991	85.9394	104.061	85.2928	36.5262	175.267	25.7714	79.4459	35.7324	136.173	43.9019	107.859	11.6699	39.4692	25.4293	184.885	206.74	111.335	44.1166	107.12100000000001	325.871	136.875	29.5575	19.0946	143.917	236.315	272.737	151.102	205.174	29.088	384.98199999999997	44.7648	122.70299999999999	92.9863	59.1244	45.3681	193.644	60.0086	46.5547	34.4763	141.352	90.1098	56.5772	307.78	109.67	284.681	35.2396	134.541	37.7918	69.4024	25.3735	79.3794	56.2256	24.7498	302.009	40.9704	48.9306	327.189	203.923	13.3108	124.945	42.6692	32.1282	60.9361	81.4638	104.469	87.4282	118.26299999999999	44.8397	137.901	59.4004	75.557	448.19699999999995	313.204	212.46200000000002	13.9242	219.94799999999998	51.9373	81.7176	206.38299999999998	145.371	91.9349	332.329	64.6527	122.08200000000001	9.48273	359.395	47.6025	160.98	100.115	45.9871	230.392	114.133	56.0606	262.202	86.811	69.835	5.70199	117.988	98.6933	62.7837	59.2357	95.2879	193.671	34.4812	168.93599999999998	22.695999999999998	20.0271	180.96	18.8398	57.9652	620.802	131.028	169.484	69.1908	99.6813	28.8402	207.986	21.8974	100.78200000000001	79.9808	66.1271	142.774	58.0624	159.613	17.4176	236.22	17.2035	35.4814	104.175	154.032	32.0293	34.6991	13.6309	165.96	53.7982	4.64464	96.0419	75.2524	102.289	28.3676	70.1728	49.1366	81.4195	29.3243	156.708	36.3851	105.959	9.24699003561	791.103	166.3185	37.5851	50.52855	148.01895	239.5092
S100A10	S100A10-001	20.5402	12.5218	9.502839999999999	5.573980000000001	6.3116	12.9212	3.91606	3.7949	8.52562	8.32771	1.6551900000000002	25.1557	3.25615	27.461	0.37249299999999996	4.703180000000001	15.7441	2.45985	14.8511	12.1302	13.2585	2.55465	3.29711	3.66035	11.5019	8.39525	13.4892	7.30055	4.03686	15.0115	3.27672	1.9096	3.61655	9.89427	5.57758	9.93777	0.666453	3.31469	2.55154	13.9065	18.815	10.0851	5.29274	8.71077	19.9532	11.8137	3.34116	1.31057	11.9369	20.0796	31.6201	13.927	20.4681	2.76098	27.5014	4.03552	10.6443	5.79354	7.216710000000001	4.68564	23.7395	6.403169999999999	4.59532	2.50768	13.2749	0.583438	6.298369999999999	30.57	10.9117	19.9279	3.12717	14.9209	2.22934	6.572710000000001	1.74053	4.41078	3.80724	1.18311	23.8145	3.9426	5.01589	30.7669	16.713	1.22491	9.21012	3.0805	2.47916	5.38785	7.8177	9.486360000000001	7.52066	8.18154	2.35741	9.85803	5.0961099999999995	6.06417	42.6251	30.5006	18.1353	1.0987799999999999	17.3257	4.65139	5.05293	20.2587	13.3763	5.4252	29.973000000000003	6.213019999999999	9.7684	0.664378	33.6976	5.08359	16.2359	8.92682	2.6374299999999997	23.1391	9.68775	5.65616	22.2633	7.81217	5.02377	0.528118	9.802	11.6263	6.0919300000000005	4.36942	8.81245	18.1225	1.55435	10.4299	1.55455	1.9046299999999998	17.5851	1.8213700000000002	2.74016	46.3158	6.62102	15.964	6.04283	7.47585	2.2351900000000002	19.0999	0.9281719999999999	9.62601	6.74275	6.00767	10.6393	3.8137800000000004	13.3995	1.6710099999999999	25.7438	1.89051	3.7407800000000004	7.30085	14.0962	2.8669	3.83615	1.4949299999999999	15.1038	3.4768800000000004	0.282105	6.01103	5.45782	7.921119999999999	3.431	5.1464	5.40019	7.497489999999999	2.63062	9.12355	1.93775	7.22853	9.24699003561	81.65125	13.6464	3.21394	3.11522	14.68924	22.126015
S100A10	S100A10-004	1.76568	3.69677	0.0	1.0977700000000001	0.5709310000000001	1.44456	0.0	0.730072	0.517433	2.58471	0.0	4.28069	2.1396	3.63035	0.0	0.0	1.8518700000000001	0.0	2.61571	0.762579	1.6004	0.0	0.0	0.0	0.0	0.620695	0.715489	0.502395	0.0	0.5957819999999999	0.0	0.0	0.0	0.0	1.1637	0.0	0.0	1.1055	0.0	1.1911	0.0	1.82208	0.7405189999999999	0.0	9.08672	0.0	0.0	0.0	0.765051	1.9545700000000001	0.0	0.0	11.0307	0.808238	0.0	0.941773	3.56351	0.48703100000000005	2.71292	0.40089400000000003	1.37015	0.0	2.1314599999999997	0.677767	2.5838099999999997	0.0	2.5712200000000003	3.73844	5.15391	2.21483	0.0	3.4127699999999996	0.504228	1.59484	0.49986499999999995	1.85959	0.683377	0.0	4.662030000000001	0.0	0.502947	7.85325	7.98267	0.0	0.0	0.0	0.505102	1.73986	1.42306	0.55442	0.0	1.29616	0.0	1.16822	0.0	0.7844300000000001	4.158530000000001	2.90216	0.0	0.0	15.8988	0.0	0.0	9.17917	0.0	0.6358050000000001	3.71737	0.572221	0.830166	0.0	2.0829	0.879942	1.43594	3.62204	0.0	0.0	0.0	0.7315659999999999	2.82792	0.0	4.5202	0.0	2.34936	3.16272	0.0	1.7251599999999998	2.75609	2.05068	0.0	0.0	0.0	0.0	1.62168	0.0	0.0	4.84576	0.0	2.68899	0.626729	0.48067	0.0	3.62205	0.0	0.0	1.39703	0.0	0.8239690000000001	0.0	0.637343	0.0	0.0	0.0	1.29673	0.547832	0.663255	0.578984	0.0	0.0	1.85185	0.0	0.0	1.25929	0.0	6.1193599999999995	0.0	0.0	3.33204	0.0	0.0	0.713274	0.0	1.54918	9.24699003561	4.003105	0.6275	0.920171	0.0	0.957215	0.0
S100A10	S100A10-003	71.8525	34.2299	8.99565	18.6884	15.7188	54.794	20.7676	8.94331	32.9352	27.1502	3.97263	80.9867	13.4152	100.85600000000001	2.00176	17.4929	55.5772	7.41063	41.678000000000004	38.9212	63.6861	10.4931	14.4871	11.275	28.5908	28.7412	39.2413	26.418000000000003	13.4913	63.5407	10.5409	5.63464	3.4052599999999997	31.6225	15.2661	20.7217	4.1395	10.3923	9.57655	51.8701	65.2592	30.9831	16.224	31.1913	76.3184	43.4547	9.966330000000001	5.85043	35.3627	86.5488	82.3076	44.8003	62.3214	7.48004	41.4304	17.5883	33.7483	18.6282	19.8261	12.5711	62.2589	19.0162	15.7081	11.9747	52.1959	25.0889	19.8046	88.6312	32.8471	38.6282	5.53331	26.0423	6.21267	11.3921	5.68105	12.8382	13.8733	1.85917	26.3593	10.3798	7.95605	85.3279	72.1345	3.63394	35.8112	13.4271	10.6218	8.12642	13.3906	10.4841	22.3717	35.9815	8.07238	28.7658	17.2205	25.0635	107.086	101.756	50.8116	4.91375	43.3134	13.5606	21.0221	38.9634	45.6927	24.3174	121.365	13.4747	29.1175	1.19718	76.33	15.0394	16.6651	19.176	6.83528	86.0429	44.4551	21.4731	25.3031	16.2558	19.3212	2.0101400000000003	29.1249	36.2817	21.884	21.9639	30.8791	62.3578	9.57964	24.6157	5.21718	5.06893	43.2653	6.77217	17.4745	217.266	35.0844	43.731	23.5953	19.849	8.691139999999999	53.4145	7.849260000000001	24.788	21.1942	11.9639	38.4011	15.7077	50.4442	4.93393	75.9953	3.9927	12.4669	18.6482	23.1078	11.0551	4.68277	4.31406	40.7487	9.085180000000001	0.41779099999999997	25.7906	29.182	30.5831	9.729410000000001	24.8101	11.7781	32.5957	9.07585	56.1002	7.2013	34.6041	9.24699003561	278.44955	31.88615	5.31875	18.66312	43.8361	57.7517
S100A11	S100A11-001	750.561	297.025	212.71200000000002	233.34900000000002	117.928	1167.76	319.942	528.303	300.52099999999996	277.19599999999997	459.994	1255.63	277.427	356.05400000000003	118.204	268.369	305.455	122.911	353.961	221.748	426.843	132.718	186.17700000000002	116.939	271.55	227.83599999999998	232.40400000000002	157.043	257.065	451.325	184.752	450.185	95.8287	342.006	197.41099999999997	188.278	247.717	215.269	59.2804	526.484	378.994	222.47799999999998	316.657	176.24200000000002	803.421	157.382	65.0251	207.236	493.851	333.358	178.903	667.612	535.038	299.046	809.577	76.8691	147.412	134.393	80.2131	243.46599999999998	177.688	325.885	385.084	90.3154	449.418	85.8799	373.05800000000005	464.54400000000004	246.111	891.324	320.306	334.048	84.4337	98.2244	144.528	72.4938	402.62199999999996	277.66900000000004	748.169	548.562	327.68800000000005	855.315	175.93099999999998	47.3027	111.182	94.0184	234.59799999999998	145.378	188.57	98.045	365.999	167.69299999999998	92.9358	261.133	388.181	349.842	643.081	617.394	85.1243	117.25200000000001	378.42800000000005	391.478	265.371	412.76599999999996	214.755	113.16799999999999	422.996	256.38	573.307	58.7436	514.759	106.65799999999999	840.91	168.512	151.178	129.126	593.877	444.901	643.195	251.24599999999998	132.216	476.07	359.465	295.51599999999996	287.57	130.105	219.30200000000002	342.79900000000004	326.013	166.5	117.405	104.65299999999999	245.477	150.055	198.102	727.76	124.557	678.0830000000001	271.814	614.471	249.42	74.3278	78.3815	333.43	204.981	244.467	365.73199999999997	148.668	425.869	114.098	375.245	297.499	92.7502	159.485	350.587	140.273	201.81099999999998	111.883	465.577	411.79900000000004	67.0257	333.241	292.211	293.513	180.28400000000002	296.844	424.819	244.523	63.2923	518.305	31.8895	221.643	9.24699003561	514.2955	354.7795	110.577	199.41505	315.48105	143.599
S100A11	S100A11-002	1.97537	0.208513	1.58044	0.8141109999999999	0.8043020000000001	0.867582	1.56029	1.21512	0.22565500000000002	0.763079	0.566603	1.8703	0.8358709999999999	0.552704	0.280123	0.867563	0.270337	0.764721	0.711408	0.686609	0.601141	0.0	0.0	1.31081	0.785977	0.0	0.0	0.0	0.9891840000000001	0.493832	0.0	49.0759	0.0	1.15414	0.45959300000000003	0.6146199999999999	0.624973	0.317725	0.27828400000000003	1.47484	0.745283	1.2453100000000001	1.2024	0.237294	0.8769790000000001	0.0	0.258577	0.536076	0.61346	0.8012630000000001	0.298002	0.44783900000000004	0.778921	1.49429	0.0	0.411516	2.4885599999999997	1.42357	0.0	1.74899	0.768595	0.348039	0.702711	0.25099699999999997	0.5937859999999999	0.0	0.0	0.48581599999999997	1.45927	2.7387	0.290885	0.9530069999999999	0.0	0.0	0.0	0.381182	1.64257	0.0	0.0	1.05535	0.29166	1.9085	0.534927	0.0	0.679674	0.407572	0.9506680000000001	0.345916	1.07406	0.0	1.49807	0.301667	1.87347	1.7161799999999998	0.670284	0.0	0.642309	1.25977	0.0	0.0	1.0727799999999998	0.259776	0.5895130000000001	1.10775	0.293661	1.04314	1.3228799999999998	0.40161399999999997	0.769345	0.0	0.0	1.73585	0.441337	0.448985	1.26799	0.422458	1.61162	1.51088	1.07828	0.0	0.0	0.316998	1.9993400000000001	1.04748	0.30294699999999997	0.25395999999999996	1.14727	0.750954	0.542417	0.0	0.724478	0.0	0.0	0.754522	0.874326	0.785934	0.2729	0.829807	0.50869	1.46781	0.292635	0.0	0.889191	0.970566	1.08651	0.822993	0.31613800000000003	0.351932	0.228937	0.29422800000000005	0.7691060000000001	0.901705	0.233001	0.0	0.9847870000000001	1.06908	0.649457	0.522446	0.0	0.27328600000000003	0.0	0.0	1.48896	0.46804399999999996	0.0	0.996707	0.587909	0.673983	0.0	0.935054	0.0	0.0	9.24699003561	0.999395	1.115665	0.484584	0.943715	0.1478225	0.46208
TCHHL1	TCHHL1-001	0.00686192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00814667	0.0	0.0	0.0	0.013168299999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00646103	0.0107479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.24699003561	0.0	0.0	0.0	0.0	0.0	0.0
TCHH	TCHH-001	0.0350958	6.9899e-10	0.00850102	0.0503105	0.0141357	0.699052	0.177731	0.013554499999999999	0.277623	0.09128539999999999	0.139221	0.378388	0.149586	0.660589	0.0341017	0.0479966	0.102298	0.060277	0.200664	0.0319253	0.09454320000000001	0.0212979	0.112652	0.031991700000000005	0.09078960000000001	0.0950862	0.0385495	0.036718400000000005	0.0661412	0.06441559999999999	0.180607	0.753101	0.0129143	0.0391082	0.246802	0.0686799	0.0	0.044768	0.0	0.141439	0.0632351	0.0449264	0.23409499999999997	0.0602942	0.0916434	0.0333294	0.0410486	0.407303	0.08761260000000001	0.0566438	0.07285119999999999	0.07202410000000001	0.150563	0.0378468	0.292514	0.0298579	0.09218430000000001	0.022481099999999997	0.013972700000000001	0.016417700000000004	0.046169800000000004	0.13295	0.314983	0.056892200000000004	0.23749499999999998	0.0108258	0.0360916	0.106645	0.0131066	0.400156	0.07900239999999999	0.0396615	0.020407599999999998	0.0110634	0.0	3.36701e-05	0.00940943	0.022581999999999998	0.057775400000000005	0.0405444	0.0345022	0.158356	0.0894729	0.021177	0.147919	0.010030200000000001	0.0470889	0.028911000000000003	0.00591742	0.026676299999999997	0.0138065	0.0144803	0.14241199999999998	0.05956090000000001	0.217482	0.0	0.0739331	0.220623	0.017535400000000003	0.138767	0.0276245	0.0362535	0.22434899999999997	0.03296369999999999	0.339859	0.00824955	0.09574479999999999	0.0901575	0.137663	0.034694699999999995	0.00774664	0.043548199999999995	0.0425271	0.0167351	0.09342160000000001	0.08817960000000001	0.142003	0.0973201	0.0127244	0.0377826	0.09692339999999999	0.0126541	0.035253	0.11133399999999999	0.0641225	0.0767147	0.00885609	0.0276647	0.0504435	0.011154899999999999	0.0255388	0.036853199999999996	0.0348173	0.00852397	0.0241701	7.65693	0.034963	0.127421	0.06582239999999999	0.03184770000000001	0.0431925	0.00514912	0.055383	0.0394745	0.047637099999999995	0.00886071	0.022237299999999998	0.0348339	0.0605567	0.0327502	0.063563	0.15494000000000002	0.0610928	0.039113300000000004	0.0357618	0.18221099999999998	0.00778919	0.0110441	0.0109955	0.0269972	0.0163852	0.092375	0.0314752	0.041351	0.14438900000000002	0.0561831	0.09487430000000001	0.48436	0.012958299999999999	0.08459889999999999	0.214836	0.129645	9.24699003561	0.0875678	0.0268786	0.03541815	0.0569539	0.1482931	0.04475375
TCHH	TCHH-201	1.5457399999999999e-09	0.0911908	3.26438e-11	6.61322e-11	6.74809e-10	2.68097e-10	5.35003e-10	0.0	7.451e-09	9.83027e-11	1.2218399999999998e-09	3.7825900000000004e-10	7.14728e-09	5.60941e-09	2.9582800000000003e-09	8.64361e-11	1.96634e-08	2.0193400000000003e-10	4.0722800000000003e-10	1.9242099999999998e-10	0.0	0.0	4.4847000000000006e-11	8.261910000000001e-09	1.05585e-10	2.86964e-10	0.0	1.88047e-09	3.4964200000000002e-09	1.76638e-10	2.37359e-08	2.0821400000000003e-08	9.53356e-10	0.0	1.15042e-08	4.5666000000000005e-10	0.0246926	5.0550799999999995e-09	0.0837286	1.43183e-08	3.53655e-11	1.28069e-10	9.274210000000001e-10	3.33239e-09	5.53618e-09	2.57781e-10	0.0	0.0	1.0488500000000001e-10	0.0	2.11801e-08	2.94577e-09	1.6303700000000002e-08	9.786959999999999e-09	7.320789999999999e-10	1.70819e-09	2.41907e-11	1.5670999999999999e-09	6.67312e-11	7.5672e-10	1.89504e-09	7.72211e-10	1.54149e-10	8.036e-11	0.0	0.0	0.0	1.9507e-10	5.3699e-11	2.23198e-09	8.63265e-09	6.670439999999999e-10	1.9102399999999999e-10	3.3103899999999997e-10	0.06735060000000001	0.17089400000000002	0.0	5.147090000000001e-10	1.7556400000000002e-10	3.57513e-11	0.0	5.28712e-09	2.75902e-09	1.2290799999999999e-09	7.11413e-11	4.6826e-10	0.0	0.0	0.0	4.69366e-11	0.210556	7.83496e-11	0.0	1.4778099999999999e-09	3.1574499999999996e-08	0.0858831	1.26528e-09	5.634980000000001e-10	0.0	3.06812e-10	6.838739999999999e-10	0.0	7.98084e-10	7.635639999999999e-10	2.3792400000000004e-08	0.0	0.0	5.79872e-10	5.02426e-11	3.04633e-10	1.20975e-10	1.24867e-09	6.262859999999999e-10	9.33479e-11	6.25468e-11	5.81465e-09	4.87726e-10	2.73024e-09	4.00379e-11	2.30335e-09	0.0	1.84857e-09	1.66483e-09	1.8077599999999999e-10	4.6054400000000003e-10	2.59057e-10	0.0	0.0	4.0123e-09	2.45711e-10	9.97275e-11	9.831430000000001e-10	1.57827e-09	1.26924e-10	6.869220000000001e-10	0.432663	2.5683999999999996e-10	2.7339799999999997e-09	1.95202e-09	1.44197e-10	4.92921e-11	0.0	2.32988e-10	1.24921e-10	0.0	0.0	5.58412e-10	1.9248099999999997e-09	6.9654e-11	0.0	9.71572e-10	4.9024399999999995e-09	0.0	8.87764e-11	0.0	6.063549999999999e-09	0.0	1.5925599999999997e-09	1.8162400000000002e-10	0.0	1.74833e-10	5.73149e-09	0.0	3.50706e-09	9.107120000000001e-10	0.0	2.64874e-09	0.23045700000000002	0.0	1.65265e-10	0.0	1.24672e-10	9.24699003561	5.2217e-10	1.17658445e-09	0.0	4.4648795e-10	3.476691e-10	1.55536e-10
RPTN	RPTN-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00695048	0.0	0.0	0.0	0.0	0.00519479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0062673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00643639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00366407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.24699003561	0.002420685	0.0	0.0	0.0	0.0	0.0
