index	Transcript	AB49	AASL	AASJ	AASI	AASD	AASB	AAS8	AA0X	A7XE	A7SW	A62T	A5MY	A5MW	A5MV	A5MU	A5MT	A5MS	A5MR	A5MP	A5MN	A5MM	A5ML	A5MJ	A5MI	A5MH	A5MG	A5MB	A5M9	A5IX	A5IB	A5I6	A5I4	A5HT	A5HR	A5HQ	A5HP	A5HO	A5HN	A5HM	A5HL	A5HK	A5HJ	A5HI	A5HH	A5HG	A5HF	A5HE	A5HD	A5GW	A5GH	A5GF	A5GB	A5GA	A5G8	A5G7	A5G6	A5G3	A5G1	A5FZ	A5EN	A5EM	A5EL	A5DS	A5DR	A5DI	A5D1	A5CX	A5CT	A5CR	A5C4	A5B5	A59Q	A59J	A59I	A56V	A56U	A53L	A53J	A53I	A53H	A53D	A53C	A53B	A53A	A539	A538	A52W	A52V	A52S	A52Q	A52N	A524	A522	A513	A512	A511	A510	A50Z	A50M	A4ZK	A4ZJ	A4WN	A4VJ	A4QR	A4QQ	A4PA	A4JL	A4JK	A4JC	A4JB	A4EE	A4ED	A4E7	A4CN	A4CL	A4BY	A4BX	A4BW	A4AH	A49D	A475	A474	A46N	A46M	A46L	A46K	A46J	A446	8666	8664	8629	8628	8626	8625	8624	8622	8584	8582	8580	8504	8503	8491	8490	8481	8479	8456	8455	8393	8392	8391	8390	8388	8387	8355	8354	8353	8352	8351	8350	8308	8307	8305	8304	8288	8287	8277	8276	8251	8250	8170	8169	8156	8154	8153	8150	8148	8146	8145	8144	8143	8140	8139	8138	8136	8133	8131	8130	8128	8118	8116	8115	8072	8071	8070	8065	8064	8063	8052	8049	8048	8035	8023	8022	8021	8020	8009	7964	7950	7943	7844	7843	7822	7812	7811	7810	7809	7769	7766	7757	7756	7755	7699	7698	7697	7696	7656	7622	7557	7545	7544	7465	7463	7454	7341	7223	7221	7141	7140	7139	7033	7023	7022	7021	7020	6867	6845	6844	6843	6842	6798	6770	6738	6723	6722	6561	6560	6546	6545	6202	6175	6026	6025	5929	5928	5927	5898	5897	5819	5787	5786	5784	5783	5782	5668	5596	5595	5592	5492	5485	5480	5479	5477	5474	5473	5241	5240	5239	5236	5234	5232	5231	5131	5128	5039	5037	5036	5035	5034	5031	5030	5029	5028	5027	5024	5022	5021	5019	5016	5011	4721	4613	4607	4605	4604	4601	4599	4596	4595	4594	4591	4589	4586	4583	4582	4566	4547	4538	4533	4532	4141	4135	4130	4129	4086	4083	3920	3792	3789	3783	3769	3768	3767	3766	3765	3421	3419	3417	3416	3415	3414	3412	3411	3410	3409	3408	3407	3406	2800	2795	2794	2793	2792	2791	2790	2789	2788	2787	2786	2785	2783	2782	2781	2780	2778	2777	2773	2771	2770	2769	2768	2767	2766	2765	2763	2759	2758	2757	2756	2755	2754	2753	2744	2742	2737	2734	2727	2726	2725	2724	2723	2722	2721	2720	2719	2716	2715	2714	2713	2712	2711	2710	2708	2707	2706	2704	2703	2698	2697	2696	2695	2608	2600	2596	2581	2578	2576	1622	1083	1082	1081	1080	1079	1078	1077	1075	1072	1071	1070	1017	1016	1012	1011	1005	1002	1000	0944	0940	8623	8454	8386	8309	8201	8083	8082	8008	8007	7823	7767	7731	7730	7710	7658	7657	7582	7580	7579	7340	7338	7337	7335	7222	7142	7138	7107	6837	6773	6771	6737	6647	6143	5670	5491	5489	5483	5482	5481	5478	5472	5471	5040	4609	4593	4587	4133	4132	4081	4080	4079	3394	2709	1076
S100A10	S100A10-002	1160.79	1994.44	441.097	726.817	1496.41	1410.9	741.328	767.836	713.563	2202.42	332.74800000000005	679.784	300.02	477.06199999999995	388.004	255.105	99.6796	1118.74	479.32199999999995	1022.91	1051.87	758.237	455.21	190.567	1091.28	391.894	321.134	454.356	2094.89	143.607	990.051	497.83099999999996	150.19299999999998	674.779	610.737	1081.37	504.333	966.013	655.705	269.705	352.754	830.0980000000001	346.265	879.497	645.937	1391.4	788.79	517.569	458.726	239.05200000000002	813.368	1018.19	920.7360000000001	812.456	458.944	423.602	475.598	1895.68	537.132	419.009	1327.97	1315.08	296.221	659.173	1119.33	238.81799999999998	871.447	2105.68	568.8240000000001	162.90200000000002	465.32800000000003	506.972	1987.52	178.33700000000002	981.423	279.726	1038.07	935.916	488.10400000000004	380.0	891.743	396.62199999999996	443.094	301.421	684.2339999999999	531.932	331.725	678.449	78.9277	2498.31	1112.65	414.161	1024.62	737.435	731.383	614.12	159.477	173.195	1507.48	363.07199999999995	935.7	378.163	382.605	175.687	1153.78	155.075	106.24799999999999	536.0219999999999	1167.82	471.236	215.01	536.073	701.6310000000001	748.5160000000001	538.653	530.359	406.848	623.366	277.557	325.491	140.734	748.416	529.705	773.222	932.258	876.235	797.69	530.919	956.4789999999999	517.2819999999999	340.909	336.51599999999996	573.956	328.546	310.55400000000003	679.039	727.115	512.411	493.879	437.55800000000005	384.17199999999997	575.9540000000001	882.505	849.186	2784.11	422.07300000000004	745.048	843.926	556.986	732.0110000000001	347.12699999999995	175.135	168.96099999999998	315.778	600.655	967.446	606.165	600.7719999999999	415.897	630.018	65.6659	1044.97	425.353	137.732	123.37700000000001	473.14099999999996	220.65900000000002	200.22799999999998	350.32099999999997	359.917	301.036	341.019	187.357	490.291	200.14700000000002	439.00699999999995	949.735	570.927	882.607	751.432	475.506	246.342	388.991	637.0880000000001	442.85699999999997	805.752	1153.44	404.324	508.81199999999995	138.562	363.658	686.132	556.0459999999999	431.712	282.033	209.142	1692.77	693.38	435.16900000000004	257.856	705.8	270.85	191.915	546.8969999999999	1195.88	937.472	758.117	181.46099999999998	474.91900000000004	667.555	431.709	738.383	1771.71	1109.21	965.122	353.301	922.6669999999999	408.215	425.277	1327.18	569.922	308.432	667.0260000000001	690.518	1289.18	124.295	774.918	921.2360000000001	749.703	475.983	191.765	471.30800000000005	469.68800000000005	915.221	317.445	927.556	651.47	887.9119999999999	964.158	747.8560000000001	547.101	259.813	849.21	582.1030000000001	606.201	710.88	162.30100000000002	257.875	158.936	596.675	672.485	1170.9	1117.61	750.137	371.92	202.59799999999998	365.358	687.1260000000001	1747.68	567.831	395.60699999999997	1624.79	382.76	1112.52	260.28700000000003	740.885	453.792	163.376	599.566	845.7760000000001	658.546	617.264	424.829	343.287	660.65	671.592	933.4730000000001	278.495	983.7769999999999	206.975	1287.61	203.822	379.85900000000004	779.7389999999999	822.24	1306.2	394.966	1155.91	474.99699999999996	296.815	180.09799999999998	149.661	749.053	866.0319999999999	767.227	722.172	461.853	313.688	369.971	137.683	542.629	515.63	835.493	1080.37	273.39799999999997	355.67	577.314	263.226	804.135	227.023	220.101	433.45	1156.35	243.77599999999998	868.67	844.61	1011.31	793.164	81.6177	473.51800000000003	1131.21	1294.57	1874.29	247.108	776.5219999999999	533.184	755.3530000000001	707.1030000000001	314.316	541.44	320.664	182.729	73.0257	638.64	200.30900000000003	427.976	841.073	1021.37	1136.85	910.082	492.591	690.48	380.76199999999994	555.415	222.93099999999998	127.176	1031.61	595.5	1581.44	679.212	420.439	672.694	127.324	836.623	878.699	491.73	633.441	686.075	881.745	235.989	100.07700000000001	689.1439999999999	485.056	351.457	523.203	643.639	559.529	936.049	348.01	643.347	498.309	460.439	936.72	477.533	1105.7	913.89	305.695	593.411	493.019	1074.63	356.403	768.3710000000001	1095.27	230.692	710.9110000000001	310.20099999999996	150.852	645.237	271.767	46.3651	646.7869999999999	453.418	1434.04	713.165	1255.6	432.548	164.80200000000002	393.06699999999995	801.0210000000001	974.177	1079.14	226.981	943.4960000000001	192.325	411.704	780.217	1034.95	895.493	218.351	552.8290000000001	623.237	786.368	903.6610000000001	296.928	431.88199999999995	512.587	1013.76	441.20300000000003	369.486	386.694	488.041	627.566	645.044	1080.37	364.19699999999995	847.47	287.525	155.263	431.356	763.0889999999999	449.102	1635.82	220.37900000000002	886.552	744.2389999999999	1525.25	1023.14	900.554	1828.81	893.628	838.125	364.653	210.88299999999998	418.865	704.534	1046.23	731.605	865.2265	595.12	571.368	681.941	626.213	633.386	869.8405	1053.527	1195.18	639.185	683.6135	1082.331	1122.5	1157.718	795.222	887.865	804.89	974.1675	995.82	1196.6365	1182.155	969.398	907.8405	1043.8615	864.8135	1350.9285	296.013	889.7935	604.0645	1239.5	642.6325	631.969	299.91	913.6635	575.8835	638.8105	621.204	931.364	453.5705	636.7215	910.91	917.217	1304.255	676.249	821.228	696.5535	1215.325	87.2792	593.7095	679.9105	1119.1985	1152.0115	926.5245	945.2555
S100A10	S100A10-001	93.26799999999999	155.305	36.6032	70.9519	134.385	171.578	69.4934	87.3239	66.5218	240.419	35.0684	46.6797	24.4538	41.7521	29.6425	22.6574	7.0945	80.3539	42.9815	65.07600000000001	104.09299999999999	58.5877	37.9878	10.9806	78.0796	29.1417	26.713	36.4076	172.372	11.5124	88.57600000000001	45.1339	13.3638	48.3271	47.4476	107.463	37.3586	77.7772	59.6296	26.1474	57.1788	71.7033	28.7912	83.7547	58.5806	133.249	59.178000000000004	45.3196	38.7716	16.6484	63.013999999999996	83.1273	72.2876	70.8122	37.8154	26.5371	35.5417	150.05	39.3246	38.293	93.5733	168.149	20.0046	44.3408	108.70700000000001	15.8097	84.954	180.31099999999998	50.8725	11.5393	38.8259	34.0754	194.61599999999999	28.5752	91.6231	23.2371	106.31700000000001	103.757	79.8464	57.0404	140.889	52.3746	65.1016	49.7076	127.73899999999999	94.3608	26.1059	111.553	13.8587	234.824	95.6678	60.3322	160.915	65.108	60.492	94.4738	17.9606	27.2231	255.049	68.814	158.279	64.831	56.3346	20.9316	170.19299999999998	12.6503	17.3593	80.3686	101.82	70.9533	30.314	67.0966	79.8644	64.0207	49.8218	46.0309	42.2216	59.8576	24.5344	24.39	12.8634	79.3636	55.223	37.7087	71.833	71.4123	72.1896	64.7217	238.68	54.09	72.5042	75.0143	127.852	65.7622	77.0396	71.4554	175.956	138.826	104.245	88.7272	85.0566	62.1537	112.77600000000001	121.48899999999999	402.42800000000005	48.1934	117.743	115.20200000000001	68.8669	102.075	51.8649	22.9675	19.8839	36.4934	82.0036	154.266	85.2293	86.2175	55.7421	81.4651	10.9689	140.034	62.8859	18.1035	15.0759	64.1992	25.8266	25.1428	49.8388	49.6302	43.8276	66.904	37.6058	95.35600000000001	41.8141	87.4296	150.472	132.289	108.92200000000001	81.4753	74.595	56.6472	93.5326	135.08100000000002	97.1442	153.661	150.254	82.0561	93.6984	30.3839	63.0332	156.421	118.04299999999999	91.3005	35.6252	34.976	194.32299999999998	150.279	56.731	29.3176	91.1466	42.2744	36.1627	129.856	248.55	54.0461	52.2754	10.6314	27.5186	62.7679	29.6306	49.9023	131.57399999999998	75.3817	69.3807	23.4689	60.042	25.5189	58.3058	109.334	41.4179	19.2299	46.187	52.1297	94.766	8.2169	58.1323	60.8605	86.4458	53.1338	11.2402	18.6286	48.5504	73.1075	17.8226	46.2706	39.919000000000004	50.3853	55.1796	91.3395	63.6271	29.3391	95.4887	82.2239	26.2885	94.3312	19.3875	29.1608	21.0962	67.7983	89.9174	149.03	137.17700000000002	115.97399999999999	39.8317	17.1093	51.0454	79.4052	491.824	75.2848	54.6311	220.373	38.1995	149.59	52.8897	104.79	56.2855	22.1014	93.7509	117.88	94.1696	41.9486	36.5601	47.5092	76.9399	67.7424	123.786	42.2918	132.964	35.7369	201.33700000000002	33.9286	54.0783	116.774	132.243	206.118	51.287	93.2148	62.6181	37.0037	18.3514	16.12	106.67200000000001	144.105	115.14	97.7978	68.8977	49.0539	58.8288	18.2852	66.5476	83.3952	88.3875	142.525	32.885	55.6819	73.8254	41.9117	149.32	35.1424	27.8316	76.2227	82.0179	48.5177	138.36	120.368	218.864	146.525	12.4272	80.461	160.612	188.393	231.44	34.7608	121.315	60.2892	105.525	84.4084	43.7435	92.0159	45.5383	22.0179	8.985710000000001	111.337	37.1402	76.7992	151.111	186.315	180.253	160.366	91.3868	94.6491	43.8023	84.8456	34.0016	20.3329	144.829	80.3421	255.87599999999998	143.115	90.9813	136.233	26.3794	101.77	46.6858	66.4551	82.5294	117.77799999999999	93.6408	37.5137	15.7018	116.99	82.4511	64.9601	121.98	143.84	70.0344	129.757	47.0195	124.288	106.985	65.1296	143.89700000000002	111.398	148.533	181.09	43.3786	134.106	103.41799999999999	232.33599999999998	73.7679	129.514	157.738	33.5114	98.785	46.6805	26.9239	113.27799999999999	51.8594	7.2347	130.903	52.6354	220.11900000000003	127.93700000000001	165.673	63.4432	28.0716	70.3577	132.143	152.472	171.968	28.769000000000002	112.691	25.6097	66.499	115.044	150.178	118.905	32.7999	84.9333	105.89299999999999	126.976	157.533	47.691	23.0964	61.4368	170.135	29.8211	58.0995	61.3382	90.4159	110.774	115.05799999999999	202.13	66.7813	67.8374	49.6352	25.4141	66.0091	132.757	78.1448	276.776	37.6342	114.92399999999999	114.359	225.072	152.809	137.158	259.29200000000003	166.278	204.355	54.4131	40.2808	73.7777	50.2669	148.44799999999998	111.78	72.6058	76.93815	73.2578	90.5301	94.96985	90.67275	180.89055	70.4286	70.1357	138.2625	47.53225	77.4246	74.38075	90.77615	63.42715	64.86685	56.2845	74.13655	52.67605	69.4131	61.95595	110.47765	103.6945	43.6119	91.4343	97.5395	39.4981	121.3365	87.5627	171.1745	96.3468	100.75275	41.1024	66.3686	68.5197	92.241	114.06085	148.5355	58.2726	97.59275	129.434	131.6045	102.7737	46.5683	104.06305	46.82435	194.4355	11.1043	88.71335	90.316	164.61485	161.32375	120.2838	131.412
S100A10	S100A10-004	15.3126	50.6355	14.689	8.51591	44.4275	24.8635	15.386	56.4029	16.0589	51.832	10.885	11.9379	7.51685	9.36866	10.7294	8.648710000000001	5.1728	47.4776	9.36743	17.0371	29.3411	18.6088	11.8628	4.94065	27.0083	9.60747	13.6534	5.90418	17.1522	5.10231	26.6961	17.6179	1.33859	11.5731	24.3827	38.4807	7.48222	24.0242	13.3089	6.52254	7.081230000000001	13.6954	6.661339999999999	12.6293	14.1185	48.4717	4.58737	11.2348	2.5665	8.23023	18.1872	17.4693	25.0572	18.2755	7.8341899999999995	16.3412	14.5016	17.983	11.9947	10.9091	25.3503	61.7799	4.22388	15.7047	13.6204	7.4566300000000005	18.5469	37.9386	15.8314	4.050269999999999	13.3616	10.2893	103.506	4.1429	15.9206	12.7867	22.8658	22.6267	9.36903	4.61109	38.2796	9.98725	11.1098	2.17585	17.2877	6.48347	6.28561	6.9587	2.0502	46.2777	32.3769	35.1496	11.8454	5.809019999999999	26.4749	7.71438	0.40920100000000004	2.7181	18.9686	14.1288	14.5062	1.28272	6.04155	3.6987099999999997	9.52208	5.574730000000001	1.63747	18.1439	10.3423	5.32625	4.3374	10.8485	21.4823	22.6054	5.35152	13.4016	6.780710000000001	9.21758	6.06805	9.07217	4.68085	10.5735	7.85226	8.61046	26.4548	20.3891	43.6117	6.0822400000000005	18.9481	10.05	6.55728	3.7446300000000003	7.56505	2.47642	1.15009	6.72427	2.79051	1.1629	5.42751	0.7669600000000001	1.3262200000000002	5.78135	9.77127	9.715160000000001	19.0202	7.035880000000001	11.6796	16.9725	10.3301	14.16	6.57228	1.8933	2.79009	5.67555	29.8554	19.3118	12.7774	12.9883	8.2591	13.7111	0.23421199999999998	25.253	9.25407	2.49535	1.2537200000000002	4.6633	1.5821399999999999	0.9461450000000001	9.39984	5.6058900000000005	4.43277	2.26347	1.63401	8.28454	10.0147	5.50301	5.96857	6.60593	1.2484600000000001	5.4793199999999995	4.18268	1.68563	1.27661	3.22274	5.4393199999999995	2.7476700000000003	4.95861	1.38271	5.4934	1.7718	4.99346	8.67849	3.58428	5.75301	2.2818	5.47163	31.633000000000003	8.277439999999999	9.8267	4.23946	6.91558	2.39622	5.4149199999999995	6.08662	3.09598	18.1292	9.769680000000001	3.09958	11.5816	9.34465	5.88238	6.58405	11.4914	7.980589999999999	9.39744	8.082189999999999	20.2626	3.47908	4.0203	38.2214	6.89619	2.99683	8.2981	10.9748	26.3571	1.13865	23.0869	15.8432	3.9743699999999995	2.19086	0.9921200000000001	6.72755	3.9395300000000004	6.41054	5.87294	20.4698	8.0464	8.80829	7.862089999999999	8.571860000000001	14.1016	1.46638	13.9746	6.819380000000001	31.828000000000003	21.7729	1.18326	2.40008	1.2489299999999999	8.369539999999999	10.6564	5.24584	24.839000000000002	2.94135	3.37172	1.56544	4.04416	7.3810199999999995	5.20317	9.80287	5.1094	6.91339	6.21719	18.4095	4.48431	9.49928	3.85544	2.20686	6.23152	9.914	4.11178	16.7796	5.0422199999999995	3.1859900000000003	9.686860000000001	3.4042800000000004	13.759	2.52916	3.96562	1.93996	5.76361	7.149030000000001	2.03068	4.70809	5.36297	6.716139999999999	3.90235	12.2613	1.73543	4.67285	2.08359	0.8651690000000001	23.7586	2.79746	6.03487	6.6427	3.8787300000000005	0.830758	5.5163400000000005	0.417745	1.0821	4.85843	5.28796	2.04018	1.15202	2.7642	8.720260000000001	0.23524299999999998	2.44192	0.404023	2.62126	2.05288	20.4726	2.1862	22.0767	7.26955	3.6710199999999995	7.41642	1.0303799999999999	5.86079	1.04091	3.9619999999999997	9.46448	2.2884900000000004	0.0	6.62935	9.316510000000001	8.00584	3.58481	4.64954	3.4935199999999997	1.055	0.7175020000000001	3.80176	5.357819999999999	3.42441	10.1648	11.1318	9.298160000000001	2.78526	2.61409	2.69116	1.08995	4.37993	0.637738	1.89451	6.66862	5.38141	19.1473	4.73819	2.3702900000000002	2.58997	0.352265	3.02408	0.8749969999999999	9.03406	10.0657	8.0816	3.8143599999999998	1.24149	10.1579	5.16178	1.7132900000000002	3.4892300000000005	2.61805	6.694369999999999	2.4475599999999997	8.95178	7.0453600000000005	4.32336	6.359030000000001	5.15856	11.9545	7.18963	17.6407	9.37758	3.9113900000000004	12.9461	1.59543	5.587000000000001	5.37308	7.539739999999999	4.19067	0.9384129999999999	5.87533	4.05485	0.525909	3.04805	0.9771629999999999	0.0	6.00888	1.46243	10.3166	6.83206	11.686	4.7965	2.76352	4.27433	8.14229	4.13424	7.90919	3.06408	3.06343	2.2164099999999998	1.8655099999999998	20.6698	4.82105	12.5915	2.94196	6.526619999999999	4.58769	6.16133	16.706	3.21575	14.4271	4.0765	5.2245800000000004	6.67952	2.50794	4.09134	3.2031	9.98709	5.02695	16.0751	3.58063	6.0042800000000005	6.73205	2.61193	7.632969999999999	10.8395	3.58449	11.7379	2.25828	18.2913	10.4808	25.1751	15.1526	15.7883	10.058	34.2122	13.2927	1.56704	2.24448	18.2375	15.8272	18.0183	8.62395	48.1471	4.19941	19.5594	5.86858	21.8492445	5.663685	24.77448	18.6118	20.18265	14.883745	48.85383	23.75645	29.1074	29.802675	11.804105	6.88893	12.15988	13.316945	19.311985	15.33776	7.7393	3.34691	1.70445	47.61005	11.81868	14.65495	5.991305	22.07685	12.21488	32.21565	5.07843	8.313735	4.773895	26.2144	4.151555	5.83631	4.01779	10.319635	3.302735	11.93489	3.291135	10.348845	54.32245	38.48975	5.926425	9.580435	10.14465	3.06566	17.3429	6.42767	21.395275	22.38525	41.68149	36.81985
S100A10	S100A10-003	239.14700000000002	559.6659999999999	130.67600000000002	227.73	541.256	468.065	182.232	301.29	134.16299999999998	621.193	128.19	136.986	57.6751	115.86	77.7531	59.9142	26.6146	289.851	128.371	262.064	292.515	197.73	143.765	43.785	205.608	102.376	81.4348	87.4189	468.186	39.9395	255.74099999999999	117.985	33.1871	99.625	114.977	292.249	79.5191	223.09900000000002	107.149	61.0075	78.7822	183.447	69.2751	181.392	159.13299999999998	343.189	126.551	80.4279	115.77600000000001	54.6431	201.887	219.394	141.7	162.014	74.08	80.8196	107.20700000000001	506.834	124.214	92.0489	330.004	389.546	68.3217	120.585	269.88	42.0061	197.56900000000002	442.349	147.263	37.5618	77.9738	64.3105	559.503	42.8128	208.074	72.9345	224.297	254.91400000000002	98.0351	71.3916	230.169	73.3822	102.59700000000001	74.5129	158.254	134.308	48.1505	135.558	21.5041	691.0980000000001	281.824	91.0455	218.81900000000002	185.44299999999998	136.205	112.948	37.2636	32.4976	442.23199999999997	93.1891	235.331	92.103	79.0707	34.1227	226.52900000000002	28.9071	26.6749	124.406	245.238	81.0802	51.4214	125.413	148.394	256.638	104.65100000000001	108.29799999999999	85.3755	145.005	54.1897	60.041000000000004	28.7567	170.97299999999998	179.46599999999998	166.446	215.065	161.085	192.301	123.28	246.502	140.303	66.5447	61.2337	131.499	82.2202	65.5376	253.743	129.093	105.103	119.255	103.725	63.4097	128.379	221.606	193.12900000000002	520.048	67.7366	187.685	214.322	120.55	185.52200000000002	96.1005	36.2899	24.8156	71.7138	108.99700000000001	275.355	104.66	140.951	83.6343	137.298	10.1313	214.40400000000002	96.5774	25.1108	27.2405	106.087	50.5358	45.5119	87.7442	74.1321	77.354	81.7828	47.3471	101.789	37.6386	81.4296	197.768	109.795	170.46	128.651	70.4364	38.2139	80.8227	134.065	98.8746	128.113	193.953	71.4947	123.586	23.0088	92.6305	161.738	115.73100000000001	60.5261	65.4761	44.0296	455.745	122.264	117.21600000000001	50.676	103.914	38.3747	51.5619	150.44299999999998	263.7	241.71	167.563	39.2867	122.205	195.896	100.819	231.998	413.44800000000004	226.55900000000003	170.94299999999998	67.4993	204.945	78.7606	78.9889	331.278	158.717	92.5276	184.231	174.081	244.93900000000002	21.3945	162.47	266.078	119.412	88.5807	22.9384	55.283	87.4975	195.921	67.7556	144.724	150.585	182.81599999999997	146.678	102.868	128.584	70.1272	155.684	163.93200000000002	86.0208	181.062	44.7038	62.797	43.6337	77.4169	214.128	224.268	311.824	233.997	91.8338	53.2916	76.5155	161.362	420.05699999999996	156.702	71.598	454.746	66.9094	276.04900000000004	60.2936	188.467	122.895	33.6745	91.4591	225.739	134.23	157.02700000000002	55.4437	102.977	121.992	150.045	223.456	83.4743	281.026	55.6317	342.001	55.0975	108.244	206.877	214.438	285.434	90.9434	294.492	119.524	61.7074	32.8851	24.4146	187.865	205.576	71.8743	172.727	90.7331	80.1879	75.2302	33.472	107.79700000000001	122.956	82.4589	202.327	50.1211	61.8937	131.162	59.3888	143.43	32.5548	40.4813	85.1079	242.30900000000003	48.7711	184.065	153.122	222.207	177.56	13.3832	103.462	134.753	202.27700000000002	292.88	33.5429	117.455	137.07	161.355	137.82	51.6856	109.105	77.5898	24.4715	15.6476	123.824	41.0443	94.5251	173.642	183.203	195.343	210.11900000000003	110.969	138.969	72.6495	105.708	40.1287	27.0458	180.002	124.031	317.539	133.985	86.0111	143.959	26.0891	113.15899999999999	18.6145	91.7941	118.359	144.55	134.662	51.0766	22.3717	145.464	109.444	81.4308	111.962	149.605	101.84899999999999	236.322	78.1463	155.239	102.345	108.226	202.315	106.60600000000001	323.901	229.209	65.4874	144.636	110.906	254.87099999999998	83.9363	181.805	258.681	53.8335	185.273	71.8603	37.5038	147.246	68.1003	12.227	145.05200000000002	85.4256	308.778	172.93900000000002	347.765	97.4647	10.3913	99.6419	215.15	234.68400000000003	251.358	56.8199	116.03	59.9813	111.445	188.9	273.536	228.61	54.4107	134.709	180.791	221.183	258.018	87.9082	83.9915	83.9125	292.673	88.7873	101.633	87.0748	129.782	132.352	178.02900000000002	276.156	76.6197	208.09599999999998	63.3362	32.4943	78.1736	131.91299999999998	95.5913	466.05199999999996	56.2439	217.252	135.481	235.643	179.398	148.515	508.524	246.505	168.963	96.6275	27.1851	97.3405	287.44599999999997	232.453	169.889	220.4725	120.54885	154.057	131.9468	126.9252	157.1724	205.59945	273.233	337.1435	154.5265	181.6545	292.8455	256.6735	376.629	221.6575	253.984	149.5855	193.26855	210.484	297.805	229.979	213.1605	156.6692	176.7785	159.7965	270.361	83.74385	188.766	179.0835	366.1455	119.7855	192.39425	71.6618	204.3515	106.5947	168.2569	135.94645	277.25	102.77345	177.4795	243.8045	236.9735	288.484	162.002	204.459	200.6279	263.8095	14.0585	159.867	205.8892	275.1085	244.2475	278.8273	246.3475
