index	Transcript	AB27	AB20	AAYU	AAYO	AAYF	AAU2	AATZ	AATV	AAMC	AAK1	AAJU	AAJT	AAJR	AAJP	AAJA	AAJ3	AAIW	AAIV	AAIR	AA1N	AA1F	A9ZR	A9ZK	A9ZI	A9ZG	A9Z9	A9Z8	A9Z7	A9XI	A9WY	A9WX	A9WL	A9WK	A9WJ	A9WI	A9WH	A9TH	A9TE	A9S7	A9S4	A9S0	A9OY	A9OX	A9OT	A9OQ	A9OL	A9OH	A9OF	A9OA	A9O9	A9O7	A9NI	A9ND	A9N3	A9MC	A9M4	A9LZ	A9LY	A9LU	A9LS	A9LN	A9LM	A9LB	A9L9	A9L6	A9L5	A9L4	A9L2	A9L1	A9L0	A9KY	A9DX	A9DQ	A9DK	A9DI	A943	A8ZI	A8X3	A8WW	A8WV	A8WS	A8WN	A8WL	A8W3	A8W1	A8VX	A8VV	A8VT	A8VO	A8VL	A8TV	A8TT	A8TL	A8TB	A8TA	A8SW	A8SR	A8SQ	A8SP	A8SO	A8SL	A8SK	A8SJ	A8SI	A8SH	A8SF	A8SC	A8SB	A8SA	A8S9	A8S8	A8QZ	A8QY	A8QX	A8QW	A8OK	A8O0	A8MU	A8MM	A8ML	A8MK	A8MJ	A8MG	A8MF	A8KS	A8KQ	A8JR	A8IM	A8IL	A8IK	A8IJ	A8II	A8IH	A8IG	A8IF	A8ID	A8IC	A8IB	A8IA	A8I9	A8I8	A8I7	A8I6	A8I5	A8I4	A8HO	A8HM	A8HL	A8HK	A8HJ	A8FU	A8FS	A8FP	A8FN	A8D1	A8D0	A8CY	A8CP	A8CN	A8CM	A8CL	A8CK	A88R	A88Q	A88P	A88O	A88N	A88M	A88L	A88K	A88I	A87K	A87J	A87H	A87E	A87D	A87C	A87B	A879	A878	A876	A875	A872	A83N	A83M	A83L	A83K	A83I	A83H	A83G	A83F	A7NN	A7NM	A7NK	A7NJ	A7NH	A7NG	A7NF	A7FE	A7FD	A7FA	A7F6	A7F5	A7F3	A7E7	A7B4	A7B3	A7B2	A7B1	A7B0	A7AZ	A7AY	A7AW	A7AV	A7AU	A7AQ	A7AP	A76X	A76W	A725	A724	A723	A722	A721	A720	A71Z	A71Y	A6RC	A6RA	A6M7	A6IP	A6IO	A6IN	A6IM	A6IL	A6HY	A6HX	A6HD	A6G3	A6G1	A6E8	A6E7	A6E6	A6E5	A6E4	A6E3	A6E2	A6E1	A6E0	A6DY	A6BY	A6BX	A6AS	A6AQ	A6AP	A6AO	A6AN	A6AL	A67T	A67S	A67R	A67Q	A67O	A67N	A67M	A67L	A67K	A66V	A65M	A65J	A65G	A65F	A65E	A65D	A65B	A632	A631	A5OB	A5A1	A59Z	A59Y	A59X	A59V	A52E	A52D	A52C	A52B	A4ZV	A4JI	A4BV	A4BR	A4BN	A4BL	A48F	A46I	A46H	A46G	A46F	A46E	A46D	A46B	8474	8472	8470	8469	8468	8266	8264	8257	8256	8216	8213	8200	8198	7961	7821	7820	7818	7817	7791	7788	7775	7750	7749	7748	7744	7736	7708	7525	7523	7522	7521	7519	7510	7509	7325	7318	7312	7233	7232	7231	7230	7218	7213	7212	7210	7209	7171	7170	7169	7168	7081	7080	7079	7078	7077	7075	6498	6494	6385	6379	6378	6377	6373	6371	6370	6369	6367	6366	6364	6361	6354	6353	6347	6343	6339	6338	6336	6332	6329	5794	5792	5791	5790	5789	5788	5772	5771	5766	5765	5764	5763	5762	5754	5753	5752	5751	5750	5748	5746	5745	5744	5743	5741	5740	5739	5738	5737	5542	5532	5531	5530	5527	5526	5525	5524	5522	5521	5519	5518	5517	5516	5515	5514	5512	5511	5510	5509	5508	5507	5506	5505	5504	5503	5502	5501	5499	5498	5497	5496	5495	5494	A9O5	A8FO	A83J	8265	8262	8261	8260	8259	8258	7819	7797	7794	7793	7792	7789	7786	7785	7784	7783	7782	7781	7752	7747	7745	7742	7740	7738	7737	7331	7330	7328	7327	7321	7317	7315	7314	7211	7125	7123	7115	6499	6496	6384	6365	6363	6362	6356	6351	6348	6342	6333	5769	5768	5767	5761
TP53	TP53-001	9.144860000000001	2.87127	17.4496	6.9957199999999995	7.028160000000001	5.2512300000000005	15.9112	8.28159	0.626458	3.2502	8.6188	5.12879	13.7205	5.82644	4.33248	8.24959	19.179000000000002	3.12079	5.8219199999999995	4.09375	4.61313	10.5762	12.1415	0.8725200000000001	18.4697	9.76566	4.90405	1.9978099999999999	5.64136	8.681389999999999	11.0804	1.67184e-09	3.60667	10.1306	10.5145	11.0991	9.28316	2.22355	4.71622	3.82977	5.25913	10.0248	4.22854	0.596051	2.94466	10.7079	5.37465	8.14782	11.1082	4.99868	7.804939999999999	2.78266	7.82135	7.407039999999999	16.8238	2.71983	17.4174	13.6222	2.41648	5.73955	3.8561	1.41756	3.6002099999999997	1.8721	9.71677	5.10909	8.20525	12.9278	6.4002	3.6112699999999998	12.4744	1.32764	3.5923300000000005	7.39164	6.17357	7.83418	6.35307	13.6034	8.293619999999999	1.3107799999999998	11.4722	10.8107	5.54357	6.318630000000001	9.50145	1.21212	6.4836599999999995	10.9388	4.42276	1.18603	8.88684	9.40465	5.22179	8.233880000000001	1.00347	9.45566	5.03621	8.314680000000001	0.541705	2.72788	9.04828	8.58608	2.63974	6.34889	8.57559	7.275510000000001	1.18231	8.003969999999999	5.95787	8.0179	5.14365	12.4671	6.34236	3.3480800000000004	5.9116	5.27372	3.6387	5.51644	1.9709400000000001	4.42778	5.74421	9.93435	4.9019900000000005	1.4025	0.29823	0.0108988	5.6132800000000005	10.1716	9.048810000000001	1.56436	6.0633	5.60363	2.76965	4.39695	3.1712	9.1001	4.65491	3.23736	0.612266	4.67773	8.34784	7.82397	6.555439999999999	11.2834	7.58867	4.86051	7.7778	9.05139	7.31389	7.44125	8.9209	9.20621	8.16912	7.61195	10.5862	5.7872699999999995	1.1001	5.94187	3.09253	11.0218	6.574110000000001	7.2462100000000005	2.84689	6.78078	5.96906	4.79361	5.77405	2.04849	3.88018	11.5985	4.26856	1.52424	13.3837	11.6485	5.8015	0.855052	10.3681	5.86017	7.92962	8.20214	6.1679699999999995	6.874789999999999	3.6293800000000003	4.54151	9.45309	7.738360000000001	9.77709	3.14741	7.053489999999999	6.2838	5.2933900000000005	4.23303	12.5483	5.83172	7.74403	6.7720199999999995	8.97155	6.7361	7.54523	16.6267	0.479738	2.6609700000000003	1.6884099999999997	6.480169999999999	10.3818	1.15943	7.51368	2.22847	7.431039999999999	0.941506	3.82237	1.27811	0.0	6.1504	1.25349	1.47407	6.87573	19.3206	2.21924	9.918560000000001	4.04496	0.43317799999999995	0.0	8.02718	8.65496	2.9258900000000003	4.30614	8.8081	4.24286	13.4097	4.7975900000000005	0.0	0.052884	0.0	0.0	3.5956900000000003	0.12953	0.499938	5.07889	6.10802	0.716715	0.361584	4.71879	5.92216	2.63847	0.840651	6.66281	0.59446	5.29225	5.75131	1.46879	7.11115	2.1831099999999997	1.3013	1.8420400000000001	1.5425	2.17315	2.21807	9.62964	2.75064	0.708028	0.0	0.0	0.31714200000000003	1.61523	0.712808	0.48255200000000004	1.1166	0.6100939999999999	9.169410000000001	2.8416	10.2394	2.52101	0.870475	0.624375	9.2978	4.07284	3.3641099999999997	4.11615	4.1698699999999995	3.12072	1.23128	0.299551	0.25753200000000004	5.35654	2.1731	1.60883	4.4423699999999995	8.125160000000001	8.99714	3.65875	11.1646	10.7609	8.715069999999999	12.1754	7.329	5.9915	0.0	8.71053	6.17826	6.25001	2.83922	9.039819999999999	6.477530000000001	16.0257	5.8756699999999995	5.66794	4.91533	9.77017	10.3665	3.60321	5.47809	6.41	8.22512	4.22564	1.45276	13.2168	11.415999999999999	5.802980000000001	11.190999999999999	19.7521	8.59079	6.73491	12.4641	11.0452	16.4258	14.4726	10.9393	3.95756	4.46633	9.45727	5.58676	2.7463	4.92005	8.97562	7.07583e-05	2.43004	5.60531	17.414	12.1325	8.00256	9.66644	2.97646	4.63251	7.92616	9.74525	13.0972	5.24901	4.35722	6.38735e-05	1.83238	12.6947	5.72818	5.86051	3.59781	18.6751	11.684000000000001	0.000291271	5.30779	7.662789999999999	0.0	3.10954	5.3676699999999995	0.0437778	8.025780000000001	7.61631	0.525037	4.76765	5.34927	4.166519999999999	5.40774	0.510958	4.90281	0.000984844	1.22812	1.76161	0.0350678	5.8035	5.16772	1.27409	9.13604	9.72766	9.18325	9.25693	9.2425	6.00263	7.903519999999999	10.9192	6.989910000000001	10.4732	6.3247599999999995	7.33632	8.15095	2.44163	11.417	20.2624	1.20884	7.967160000000001	12.7712	15.8677	11.5454	11.5197	8.18544	10.7359	7.12047	17.1086	12.5855	7.85498	16.3012	9.5565	9.456669999999999	18.1659	10.0218	6.0521400000000005	1.78624	10.1934	9.76103	6.43949	7.99465	17.5136	5.57545	6.14877	6.62007	14.4647	5.057580000000001	12.8169	12.300999999999998	9.64018	14.1091	6.5639199999999995	11.0536	7.846539999999999	8.372589999999999	11.0653	10.265999999999998	11.0145	13.8009	6.1577	11.6056	9.333260000000001	13.2392	21.5825	10.028965	7.349435	7.87151	0.776093664497	8.75716	0.759973292817	6.459565	5.43727	0.945973911431	9.98663	5.992635	13.182	8.471485	10.08252	8.00587	9.800585	9.922865	13.7262	10.72476	7.237395	6.76435	1.2448775	4.189325	5.527785	5.888105	0.826194488816	5.84095	8.11283	11.9023	9.7035	8.574505	15.67505	7.435975	7.727035	10.24238	13.74725	8.119005	5.74348	7.783325	9.245025	2.44815	2.062295	6.87958	3.12528	7.592135	1.139017	6.54501	5.373875	3.17555	5.780525	3.112175	14.75425	10.110035	5.641875	12.3118
TP53	TP53-019	0.0652693	0.152265	0.355995	0.11319000000000001	0.261308	0.164503	0.428386	0.347993	0.107924	0.20244700000000002	0.621223	0.0683145	0.38612199999999997	0.0795346	0.51044	0.13039800000000001	0.8167810000000001	0.0	0.40975100000000003	0.11183499999999999	0.427149	0.46226300000000003	0.189169	0.128869	0.271381	0.0	0.20414300000000002	0.385061	0.28446	0.306329	0.32748499999999997	0.0	0.173922	0.328583	0.45756199999999997	0.32427	0.387716	0.0866572	0.155881	0.28442199999999995	0.361888	0.37753000000000003	0.189796	0.344023	0.19831600000000002	0.13283	0.16461900000000002	0.324821	0.324991	2.6103400000000003	0.234713	0.0	0.16146300000000002	0.0	0.0	0.0537116	0.298725	0.12455899999999999	0.24819499999999997	0.361623	0.184535	0.18168499999999999	0.10680799999999999	0.0697039	0.204754	0.8862680000000001	0.207698	0.23609899999999998	0.11453900000000002	0.214689	0.203829	0.257695	0.575599	0.446984	0.46792399999999995	0.19913499999999998	0.282758	0.363724	0.06515599999999999	4.39527	0.121565	0.8247899999999999	0.0628982	0.0743695	0.176728	0.324738	0.27769499999999997	0.373971	0.285109	0.112373	0.6458689999999999	0.390263	0.36849699999999996	0.23071599999999998	0.3354	0.10132999999999999	0.19022	0.13256800000000002	0.0	2.0880799999999997	0.513044	0.204682	0.383382	0.49149499999999996	0.346465	0.457474	0.0	0.270009	0.129767	0.149046	0.245777	0.106722	0.40328	0.182337	0.396876	0.30535500000000004	0.318723	0.277692	0.407264	0.19228199999999998	0.26703499999999997	0.487791	0.4558	0.371679	0.08462889999999999	0.11386600000000001	0.429991	0.19733699999999998	0.289055	0.158842	0.262567	0.182368	0.273938	0.260268	0.5578529999999999	0.167965	0.0	0.291408	0.183596	0.33197600000000005	0.293576	0.16028	0.104179	0.209341	0.090141	0.189994	0.21665500000000001	0.531885	0.45919	0.198441	0.257436	0.287508	0.359976	0.389969	0.374335	0.213714	0.126574	0.347477	0.147529	0.17988800000000002	0.303745	0.36991999999999997	0.197053	0.2723	0.376979	0.439909	0.1553	0.23497600000000002	0.22773600000000002	0.364845	0.316688	0.113515	0.27118200000000003	0.262281	0.229032	0.254861	0.381763	0.10384600000000001	0.506817	0.32865500000000003	0.06769960000000001	0.15514	0.22656500000000002	0.091293	0.47440600000000005	0.20487399999999997	0.21907100000000002	0.0	0.36794	0.194583	0.272458	0.0	0.339983	0.197757	0.6938529999999999	0.248604	0.120706	0.175597	0.365687	0.223165	0.16653800000000002	0.128795	0.42934799999999995	0.386874	0.25701799999999997	0.12783699999999998	0.6878890000000001	0.14519400000000002	0.29073499999999997	0.159502	0.5485979999999999	0.180525	0.051735300000000005	0.47441300000000003	0.11579500000000001	0.23732199999999998	0.230395	0.291485	0.120603	0.180341	0.282517	0.14319	0.280001	0.5149199999999999	0.320089	0.116155	0.172586	0.260015	0.15495799999999998	0.42440600000000006	0.0	0.108476	0.0964581	0.214511	0.251593	0.34363299999999997	0.166883	0.343462	0.48033100000000006	0.19150999999999999	0.132495	0.107965	0.310473	0.08124680000000001	0.114705	0.154814	0.346089	0.14541099999999998	0.104609	0.239957	0.379374	0.653475	0.131774	0.29373499999999997	0.177089	0.160074	0.13990999999999998	0.176098	0.7834720000000001	0.20632199999999998	0.054682900000000007	0.247906	0.21241500000000002	0.178275	0.326926	0.215441	0.0812638	0.0790597	0.26617399999999997	0.18003	0.046122	0.36798800000000004	0.617827	0.47825500000000004	0.13880699999999999	0.180032	0.133354	0.205321	0.41101800000000005	0.45507700000000006	0.284149	0.048320800000000004	0.272148	0.158946	0.318871	0.572642	0.445734	0.531466	0.241063	0.213734	0.509158	0.25350500000000004	0.646403	0.312386	0.11769600000000001	3.2992	0.217946	0.36478299999999997	0.627505	0.368819	0.0719194	0.170037	0.11719	0.7342920000000001	0.3419	0.225244	0.654926	0.214238	0.39858699999999997	0.23726799999999998	0.101575	0.09098610000000001	0.28684	0.869892	0.30019	0.22041999999999998	0.21725300000000003	0.23901399999999998	0.446608	0.233602	0.499258	0.20088499999999998	0.287622	0.79087	4.02948	0.133048	0.8453620000000001	0.378008	0.201017	0.0661398	0.158395	0.104335	0.0986444	0.22114499999999998	0.228877	0.196486	0.209998	0.275298	0.502255	0.2456	0.134821	0.25919200000000003	0.0	0.194962	3.4578300000000004	0.11971300000000001	0.21777	0.322606	0.0455487	0.204959	0.16428099999999998	0.522231	0.320577	0.206308	0.0863188	0.707192	0.31866700000000003	0.272491	0.0685581	0.136954	0.246325	0.19156199999999998	0.0981329	0.06902319999999999	0.324371	0.419258	0.227902	0.0644302	0.0	0.029284300000000003	0.12721	0.0302988	0.20743499999999998	0.38257800000000003	0.04038819999999999	0.2662	0.0800546	0.0785455	0.0721189	0.128949	0.0579374	0.365245	0.299737	0.326442	0.109679	0.12676099999999998	0.0901171	0.306181	0.5287689999999999	0.105827	0.164656	0.264572	0.715171	0.262664	1.0891600000000001	0.448701	4.34159	0.5229	0.649945	0.444011	0.34379299999999996	0.32156	0.156116	0.170379	3.08691	0.697457	0.507256	0.303029	0.31243000000000004	0.184605	0.200245	0.6001890000000001	0.435296	0.250816	0.268371	0.147535	0.400358	0.616533	0.0	0.31511	0.175903	0.581175	0.0725942	0.441345	0.160827	0.454196	0.357951	0.192417	0.0966781	0.239833	0.486957	0.10998599999999999	0.32241	0.25459699999999996	0.44014	0.3279	0.0815988	0.15356199999999998	0.405775	0.0	0.303679	0.532664	0.3089365	0.0788175	0.189491	0.776093664497	0.1656575	0.759973292817	0.603606	0.2952815	0.945973911431	0.3274385	0.07381185	0.376326	0.107932	0.4431665	0.34547395	0.3892265	0.176304	0.271595	0.376854	0.348782	0.2785695	0.229124	0.1464165	0.5888365	0.29854	0.826194488816	0.3060395	0.1741996	0.652756	0.4431665	0.17132755	0.5460525	0.100254	0.140257	0.0883393	0.4682525	0.34162695	0.151089	0.1663125	0.2101035	0.11245905	0.215564	0.1855095	0.301031	0.1771135	0.2131685	0.2242855	0.303501	0.166738	0.279077	0.195971	0.684859	0.17446645	0.3172365	0.2508065
TP53	TP53-018	0.055266699999999995	0.0	0.30228299999999997	0.201061	0.112798	0.139943	0.305243	0.09676069999999999	0.154589	0.210546	0.16805699999999998	0.0717492	0.179505	0.136929	0.24086799999999997	0.18161300000000002	0.154623	0.376155	0.24587199999999998	0.19306700000000002	0.25858200000000003	0.285049	0.189373	0.129187	0.237183	0.0	0.37462199999999996	0.056207299999999995	0.164974	0.273948	0.35028899999999996	0.0	0.0	0.453921	0.281188	0.165865	0.217734	0.14041700000000001	0.167017	0.168554	0.32568600000000003	0.048699099999999995	0.13931500000000002	0.0736638	0.0866452	0.259822	0.295846	0.3227	0.13206500000000002	0.337452	0.113883	0.0	0.0	0.0875997	0.210444	0.16705899999999999	0.368343	0.0	0.197426	0.0744635	0.0395036	0.09363350000000001	0.0	0.0	0.335922	0.248315	0.143718	0.11125299999999999	0.0	0.20507199999999998	0.21184499999999998	0.034291699999999994	0.111634	0.247385	0.22523800000000002	0.0	0.0	0.252898	0.25423	0.641675	0.20664200000000002	0.0720285	0.131636	0.21710900000000002	0.07045189999999998	0.0733988	0.045061800000000006	0.557689	0.09665449999999999	0.0926125	0.11168800000000001	0.0	0.05955359999999999	0.238958	0.37165	0.21909	0.34032199999999996	0.152989	0.19375499999999998	0.35316	0.420029	0.492486	0.125141	0.0	0.38069400000000003	0.19137200000000001	0.22016999999999998	0.267343	0.29337199999999997	0.189577	0.249306	0.25726	0.139326	0.0397853	0.135147	0.600507	0.28663299999999997	0.049799	0.203258	0.0806333	0.198197	0.375306	0.198902	0.0399381	0.120399	0.14744300000000002	0.0516659	0.362692	0.11056500000000001	0.08261879999999999	0.206461	0.429095	0.566501	0.321701	0.0937577	0.509849	0.251135	0.042985300000000004	0.237792	0.0440452	0.390376	0.11509000000000001	0.17683800000000002	0.0770692	0.05377040000000001	0.678445	0.13943	0.354072	0.552143	0.29826199999999997	0.618201	0.240892	0.404752	0.0630238	0.16345	0.11688499999999999	0.165544	0.17856	0.0	0.103797	0.182505	0.046870300000000004	0.41420200000000007	0.217981	0.181428	0.23766900000000002	0.13163699999999998	0.16811900000000002	0.130101	0.24286799999999997	0.11540399999999999	0.20726	0.144179	0.0	0.122492	0.35637800000000003	0.285646	0.239344	0.08424839999999999	0.142572	0.137375	0.538258	0.275586	0.158449	0.148172	0.273608	0.284087	0.921926	0.106877	0.0	0.142375	0.466026	0.15779100000000001	0.398935	0.18951800000000002	0.202102	0.137797	0.0366087	0.27636700000000003	0.24139899999999997	0.21022	0.321386	0.08918580000000001	0.0847554	0.17077	0.518702	0.16827899999999998	0.0385736	0.19287100000000001	0.026389199999999998	0.19880899999999999	0.0	0.033378899999999996	0.0	0.16254000000000002	0.058929300000000004	0.248731	0.258168	0.122083	0.09336489999999999	0.162025	0.0340889	0.0	0.12641	0.0562034	0.128064	0.12598299999999998	0.261411	0.171074	0.121957	0.09732060000000001	0.157661	0.040794800000000006	0.11422	0.12674000000000002	0.036337400000000006	0.0656914	0.0267513	0.356157	0.294824	0.127716	0.089088	0.0	0.0814343	0.0739792	0.10198600000000001	0.23344099999999998	0.454118	0.0	0.346679	0.045649800000000004	0.345488	0.0927515	0.0	0.0305323	0.08413430000000001	0.0	0.054971400000000004	0.25990599999999997	0.052716599999999995	0.03342	0.0322505	0.0208736	0.0858821	0.10916500000000001	0.0	0.0	0.029109899999999998	0.0636052	0.31209000000000003	0.048837900000000004	0.323969	0.25351799999999997	0.080861	0.0680572	0.045851199999999995	0.129742	0.0	0.0	0.17056400000000002	0.275065	0.048008499999999996	0.0304538	0.19876300000000002	0.15123599999999998	0.0600212	0.25211	0.502197	0.0	0.389979	0.0490833	0.295112	0.53361	0.39871100000000004	0.362641	0.339785	0.401462	0.0517451	0.08036339999999999	0.26747600000000005	0.0699265	0.18396600000000002	0.16406099999999998	0.566549	0.392933	0.5025890000000001	0.630393	0.17385799999999998	0.174371	0.382628	0.0599408	0.0	0.170605	0.249416	0.21471500000000002	0.17616099999999998	0.201319	0.234618	0.149127	0.5068630000000001	0.4047	0.06357259999999999	0.0	0.08609800000000001	0.706272	0.220518	0.47139200000000003	0.31006	0.0651583	0.22713000000000003	0.0973129	0.131348	0.0301598	0.186906	0.111	0.0881696	0.10838699999999998	0.102973	0.19922	0.060271000000000005	0.334358	0.23686300000000002	0.294096	0.37492600000000004	0.37604499999999996	0.334455	0.18565	0.1523	0.0	0.30594299999999996	0.15098699999999998	0.352385	0.41634799999999994	0.306711	0.228937	0.09898269999999999	0.0414041	0.0680702	0.0	0.169126	0.08316010000000001	0.203457	0.0331724	0.0252013	0.148123	0.0	0.0	0.13175499999999998	0.06867999999999999	0.0335522	0.22038400000000002	0.11701800000000001	0.0339728	0.22588200000000003	0.0	0.0	0.07339689999999999	0.0897431	0.037698	0.11596500000000001	0.0	0.288885	0.19583299999999998	0.474292	0.323936	0.457445	0.171026	0.225717	0.18792999999999999	0.128494	0.21837399999999998	0.347476	0.287245	0.47939799999999994	0.47981999999999997	0.91676	0.5345949999999999	0.710585	0.35154	0.344742	0.1422	0.40218899999999996	0.06359119999999999	0.121147	0.317677	0.36801799999999996	0.307546	0.0973086	0.0	0.0581418	0.0	0.43034799999999995	0.0	0.186143	0.198716	0.0782906	0.344986	0.0345317	0.156595	0.224521	0.0341191	0.0	0.277113	0.27163200000000004	0.135624	0.23649	0.17484	0.136966	0.234833	0.050087099999999996	0.699734	0.182289	0.0	0.1978	0.703576	0.41411400000000004	0.0505359	0.842974	0.193325	0.0791673	0.22671100000000002	0.0	0.423474	0.232188	0.11025	0.776093664497	0.2590815	0.759973292817	0.1835325	0.17772855	0.945973911431	0.286644	0.1475425	0.2682125	0.159368	0.3016785	0.47674935	0.231546	0.6812855	0.419304	0.265787	0.437771	0.293771	0.1068515	0.1397445	0.5154225	0.1696435	0.826194488816	0.211244	0.1541188	0.18007015	0.393932	0.254322	0.7413085	0.3059215	0.1217265	0.3881975	0.1313873	0.1185765	0.1352173	0.0	0.14670995	0.01379555	0.0650995	0.239374	0.08323265	0.1266508	0.1769908	0.1896595	0.25023	0.0850557	0.0953469	0.05456575	0.173092	0.1238321	0.252352	0.15169635
TP53	TP53-005	0.11941800000000001	0.178239	0.271255	0.0480908	0.0	0.201873	0.173977	1.50526	0.0925928	0.0729002	0.25998699999999997	0.0	0.046987400000000006	0.599719	0.417788	0.09288110000000001	0.26261	0.259273	0.07834830000000001	0.12431400000000001	0.0	0.48338400000000004	0.340345	0.0	0.329925	0.0	0.0	0.496663	0.24655500000000002	0.121224	0.397541	0.0	0.0631877	0.723527	0.262862	0.293342	0.11181700000000001	0.0	0.22525599999999998	0.135149	0.0	0.0	0.138317	0.0757703	0.0	0.26085	0.09926499999999999	3.47889e-07	0.297084	0.0480655	0.270563	0.0	0.11878699999999999	0.166552	0.580661	0.143562	0.12268699999999999	0.134723	0.196684	0.410466	0.0832638	0.18448599999999998	0.0937229	0.0	0.07506360000000001	0.0	0.12709	0.0	0.11113800000000001	0.0	0.513049	0.307784	0.079858	0.0753657	0.46	0.267594	0.375397	1.26676	0.819261	4.10685	0.277539	0.0717422	0.0	0.36641399999999996	0.206117	0.454934	0.501336	0.636674	0.190426	0.0	0.16536099999999998	0.0	0.318892	0.23723899999999998	9.14655e-07	0.261729	0.164641	0.640135	0.0	0.14336500000000002	0.46341800000000005	0.538546	0.281667	0.08049830000000001	0.158971	0.0589054	0.183107	0.392872	0.256867	0.26902800000000004	0.533401	0.141232	0.23598400000000003	0.0686019	0.21380500000000002	0.0	0.08706389999999999	0.531149	0.374601	0.0	0.227704	0.37104299999999996	0.800678	0.411804	0.0	0.49266499999999996	0.0	0.873604	0.323786	0.135673	0.07970060000000001	0.140312	0.145272	0.0	0.0	0.246182	0.0650055	0.209905	0.0	0.174575	0.0	0.164986	0.260811	0.100702	0.5534279999999999	0.171156	0.772999	0.173547	0.36395700000000003	0.292555	0.91201	0.334994	0.5053270000000001	0.556157	0.0792651	0.0773341	0.0615871	0.233265	0.07516039999999999	0.23363899999999999	0.30138000000000004	0.23980300000000002	0.403039	0.384604	0.381142	0.524651	0.374736	0.624972	0.181225	0.128418	0.214642	0.0783182	0.5020359999999999	0.484237	0.322892	0.358325	0.608006	0.642163	0.0	0.302979	0.34331799999999996	0.548619	0.0	0.6524310000000001	0.5518	0.392297	0.198603	0.0	0.40766399999999997	0.0	0.0940832	0.0	0.575142	0.280632	0.920478	0.377565	0.6167189999999999	0.291786	0.083761	0.657519	0.8283969999999999	0.379675	0.173665	0.43375600000000003	0.0	0.782755	0.783564	0.286362	0.12719	0.171971	0.873582	0.15199400000000002	0.0	0.00845012	0.390612	0.230417	0.204025	0.05033680000000001	0.0	0.136711	0.446536	0.0	3.9650999999999994e-07	0.26227399999999995	0.143682	0.05965830000000001	0.232694	0.46937700000000004	0.6551239999999999	0.0647369	0.285959	2.28389e-07	0.0	0.0	0.0	0.0	0.0	0.0784448	0.274698	0.0	0.0761572	0.336717	0.575829	0.397044	0.200133	0.20911300000000002	0.0682091	0.0	0.0	0.7948609999999999	0.118646	0.440194	0.0	0.0826283	0.257864	0.0	0.0841183	0.120137	0.140988	0.332997	0.15366400000000002	0.0	0.0	0.0985202	0.0	0.0	0.10119500000000001	0.0	0.0	0.0	0.157862	0.607425	0.0	0.136446	0.112312	0.0	0.0	0.0	0.9239290000000001	0.315797	0.196216	0.0	2.09587e-06	0.417258	0.425201	0.0	0.0	0.355263	0.13781	0.21684499999999998	0.22743000000000002	0.29935300000000004	0.203276	0.202681	0.6297659999999999	0.45812600000000003	1.13974	0.0	0.34763299999999997	0.207855	0.0	0.07434450000000001	0.61673	0.48883699999999997	0.39429000000000003	0.631626	0.0	0.0581609	0.0	0.151509	0.321228	0.498726	0.0	0.45485299999999995	0.0	0.18018299999999998	0.131681	0.440824	0.35476399999999997	0.290455	0.0	0.339884	0.0	0.0560216	0.5927600000000001	0.147726	0.325421	0.0	0.0	0.173986	0.10944000000000001	0.114193	0.109145	0.257615	0.160467	0.160323	0.133102	0.0	0.20609699999999997	0.0	0.277042	0.00566811	0.614391	0.576225	0.262569	0.422779	0.29682600000000003	0.0	0.141084	0.0	0.10119600000000001	0.0	0.123972	0.593952	0.303176	0.118323	0.207119	0.0	0.0	0.0	0.0	0.172416	0.060096300000000005	0.0	0.123117	0.0	0.0	0.06221569999999999	0.0	0.154501	0.0	0.09893060000000001	0.271987	0.0	0.0	0.0	0.0	0.0	0.17719400000000002	0.329083	0.11025499999999999	0.390327	0.0	0.346202	0.0984337	2.65523	0.154942	0.17580199999999999	0.22339	0.134851	0.15571600000000002	0.0957087	0.5855630000000001	0.0	1.0962399999999999	0.280729	2.6172400000000002	2.0434900000000003	0.16422799999999999	0.568962	1.10435	0.170163	0.6667489999999999	0.09652310000000001	0.0	0.538275	0.921966	0.277329	1.0142799999999998	0.06176469999999999	0.0759198	0.183326	0.231006	0.523492	0.338229	0.419084	0.175326	0.140524	0.11433199999999999	0.0	0.061307299999999995	0.561229	0.445954	0.155427	0.401309	0.345746	0.12975	0.0831372	0.42565699999999995	0.0	0.24948800000000002	0.376949	0.350519	0.6127729999999999	0.7602439999999999	0.236943	0.128063	0.11168199999999999	0.763111	0.206407	0.35100000000000003	0.00632092	0.313089	0.155713	0.17995245	0.776093664497	0.160594	0.759973292817	0.1604755	0.1577025	0.945973911431	0.14858475	0.2010975	0.4695995	0.102485	0.2764665	0.2014025	0.1958335	0.398907	0.33517	0.273164	0.418743	0.39145325	0.043458	0.074061	0.2158925	0.03467455	0.826194488816	0.055393	0.1389005	0.0725785	0.555525	0.099253	0.1233585	0.21515	0.1043677	0.3605035	0.2464955	0.2732145	0.168889	0.2623945	0.0964637	0.0266537	0.2015805	0.03623755	0.0930625	0.1024625	0.0	0.3081395	0.0968575	0.12913885	0.1224002	0.128444	0.2835385	0.55542	0.2610765	0.180084
