index	Transcript	AAZT	AAZO	AAVE	AAVC	AAVB	AAVA	AAV9	AA39	AA38	AA36	AA33	AA2Z	AA2W	AA2T	AA2O	AA2H	AA2G	AA0S	A95A	A8Y8	A8Y6	A8Y5	A8Y4	A8Y2	A8Y1	A8I3	A7RX	AA34	AA31	AA30	AA2X	AA2U	AA2R	AA2Q	AA2I	A8S4
S100A10	S100A10-002	517.053	1591.05	230.53400000000002	602.5219999999999	1007.4	305.14099999999996	527.164	152.599	366.41	246.477	401.653	463.11199999999997	156.388	913.982	566.184	107.819	446.39099999999996	792.562	389.73900000000003	753.488	339.945	884.064	282.98400000000004	419.439	731.013	418.06800000000004	438.431	257.2933	121.40435	556.76935	452.8487	142.78105	91.1836	260.9925	430.85705	411.9308
S100A10	S100A10-001	65.8933	283.013	45.9965	114.05	197.585	35.8935	55.556999999999995	16.9281	59.8486	39.1325	79.4054	60.0063	26.5708	150.60399999999998	63.8625	14.1854	71.3843	104.7	60.8497	62.5762	49.4467	88.7523	44.2258	68.6544	119.65899999999999	77.0034	49.4652	39.10581	21.4644	78.7749	69.3935	22.12482	16.60655	49.43905	35.91065	78.451655
S100A10	S100A10-004	4.359	41.903999999999996	3.1309	7.154780000000001	15.5227	0.0	6.3097199999999996	2.5798799999999997	1.28633	0.0	17.4633	12.2209	0.0	13.74	14.193	1.4723899999999999	4.37324	16.4297	4.63325	33.5946	9.06214	17.9954	2.27296	4.26926	3.27647	3.3874	7.464180000000001	2.6738015	2.557425	9.0809	3.572605	3.71245	1.45207	2.2897765	5.7236	3.52315
S100A10	S100A10-003	25.5472	352.00800000000004	49.1708	123.662	171.637	78.5622	151.25799999999998	24.9042	59.0267	33.8042	91.84100000000001	148.63299999999998	30.1856	153.164	148.469	11.0505	103.561	261.661	55.0008	198.03	109.624	242.25900000000001	77.0381	107.95	156.74200000000002	77.6624	99.7457	31.5035	22.80225	146.28805	74.6198	28.58445	17.13785	43.228785	64.96786	75.7392
S100A11	S100A11-001	1865.77	4474.7	1314.4	942.6289999999999	2207.09	1229.07	1314.31	30.9129	2412.41	820.77	986.9989999999999	1335.12	1281.37	1165.47	862.8380000000001	179.042	910.895	1758.09	992.362	2509.94	239.81900000000002	3297.32	2139.82	1126.72	1773.27	1538.58	1043.54	620.797	459.97415	636.79145	480.9394	508.83785	463.36765	736.29885	768.0778	1509.4271
S100A11	S100A11-002	4.31455	2.0246299999999997	1.9049099999999999	4.25028	2.15809	3.6383099999999997	1.62046	0.0	5.37448	1.7421099999999998	1.78057	1.94147	3.3457199999999996	1.15088	2.4151599999999998	0.325789	2.84925	3.58774	1.48126	2.6529599999999998	0.5491199999999999	1.9153	6.0054300000000005	4.293130000000001	4.47544	1.39465	1.9465700000000001	0.8561215	0.399257	1.174645	1.0147355	1.0101565	1.854955	1.14753	2.297465	2.567785
TCHHL1	TCHHL1-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00688493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCHH	TCHH-001	0.00758037	0.290987	0.0650881	0.035852999999999996	0.161326	0.0317017	0.09455060000000001	0.02477	0.043807900000000004	0.00295842	0.0765444	0.0342195	0.10651400000000001	0.0109512	0.0355699	0.047981800000000005	0.0779839	0.09178120000000001	0.038497699999999996	0.0	0.010681399999999999	0.013200299999999998	0.023230599999999997	0.077777	0.0670681	0.024751	0.0258322	0.0285	0.0324203	0.06664485	0.0258972	0.032765	0.03288835	0.032269225	0.00518684	0.0808344
TCHH	TCHH-201	4.15837e-10	1.21238e-08	1.6727299999999998e-08	1.4915100000000002e-09	0.0	0.0	2.0491700000000003e-09	2.3430799999999997e-10	3.62149e-09	3.64609e-11	1.02068e-10	3.5847399999999998e-09	2.2598699999999999e-10	1.6026700000000002e-09	3.02555e-08	3.4542999999999996e-10	1.9403599999999998e-08	5.20126e-09	4.17143e-09	0.10434600000000001	4.55782e-11	2.01656e-10	3.91677e-10	3.69301e-10	9.611559999999999e-09	1.49792e-10	2.42929e-10	7.2291315e-10	3.70297e-10	6.8493e-10	0.032038113141	3.219415e-09	1.358415e-09	1.27222425e-09	1.41571e-11	1.2538583e-09
RPTN	RPTN-001	0.0	0.0	0.0	0.0406871	0.036691800000000004	0.0	0.00644328	0.0	0.0	0.0	0.152605	0.0	0.0	0.0	0.0	0.0	0.0	0.018933500000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.010237600000000001	0.0	0.0	0.0	0.0	0.0	0.003379785	0.0	0.0	0.0	0.0	0.0
HRNR	HRNR-001	0.0	0.14996099999999998	0.0452718	0.041147	0.134717	0.00537266	0.11264400000000001	0.0	0.0166847	0.00227121	0.010248100000000001	0.10297100000000001	0.393818	0.05038309999999999	0.0477902	0.00934753	0.0309339	0.027888599999999996	0.316108	0.152569	0.0162611	0.0813715	0.10952	0.128556	0.384936	0.321321	0.0487614	0.02257015	0.0622966	0.127581125	0.0590087	0.045948045	0.008097395	0.109424705	0.1418883	0.02724035
FLG	FLG-001	0.0	0.07914639999999999	0.057566	0.0152216	0.0173753	0.00833775	0.00537999	0.0	0.0018402000000000002	0.0	0.00592868	0.40979499999999996	0.400421	0.10303599999999999	0.0394242	0.0	0.0431971	0.0317338	0.237362	0.025234799999999998	0.0209902	0.0826012	0.31997800000000004	0.177032	0.44113	0.470718	0.08681130000000001	0.036900945	0.012116	0.10158688	0.07000475	0.16738746	0.002697365	0.184404	0.04801055	0.04704145
