index	Transcript	AB3J	AAVI	A9Q8	A9G8	A92E	A917	A916	A915	A914	A90C	A8L9	A8F1	A8CW	A8CV	A8CT	A7WK	A7WJ	A7D5	A744	A72D	A6ZJ	A6ZI	A6W4	A6W3	A6NU	A6JA	A6J9	A6IB	A5YT	A5YS	A5YR	A5YQ	A5W2	A5OE	A5OD	A5OC	A5FX	A5DW	A5DV	A5BC	A56F	A54A	A549	A548	A547	A4KR	A3WQ	A3WE	A3W4	A3W3	A3W1	A3W0	A3VZ	A3U4	A3TW	A3S1	A3QX	A3QS	A3PX	A3PV	A3OL	A3OK	A3OJ	A3NG	A3NF	A3LP	A3LO	A3L3	A3L0	A3KX	A3KW	A3KU	A3K1	A3JQ	A3JP	A3IA	A3I9	A3GI	A3GB	A3G9	A3G8	A3G7	A3G6	A3G4	A3G3	A3G1	A3FZ	A3FX	A3FW	A3FV	A3FT	A3FS	A3FH	A3FD	A3FC	A3FB	A3FA	A3F9	A3EM	A3EL	A3EK	A3EJ	A3DH	A3DG	A3DA	A3BK	A3BI	A3BH	A3BG	A3BF	A3BD	A3B1	A3B0	A3AZ	A3AY	A3AV	A3AU	A3AS	A2QT	A2QO	A2QN	A2QM	A2QK	A2P9	A2P8	A2OQ	A2OP	A2OO	A2ON	A2OM	A2L7	A2L0	A2KZ	A2KY	A2KV	A2KU	A2KS	A2KR	A2KN	A2K7	A2K5	A2K4	A2K3	A2K2	A2IO	A2IN	A2HR	A2HK	A2HJ	A2HH	A2HG	A2HF	A2H7	A2H5	A2H4	A2H2	A2G7	A2G6	A2G5	A2G0	A2F9	A2F4	A2EY	A2EX	A2EW	A2EU	A2D6	A2D5	A2D4	A2D2	A2D0	A2CY	A2CX	A2CH	A2CG	A2AE	A24G	A23N	A23M	A22Y	A22X	A22U	A22T	A22S	A22R	A222	A221	A220	A215	A214	A212	A210	A1YV	A1YU	A1YT	A1YQ	A1YN	A1YM	A1YL	A1YI	A1YH	A1YG	A1YF	A1Y8	A1Y7	A1Y5	A1QX	A1OK	A1OJ	A1OH	A1OG	A1OF	A1O8	A1O7	A1O5	A1O0	A1NZ	A1NY	A1NX	A1NW	A1NU	A1NS	A1NO	A1NN	A1NJ	A1N2	A1MZ	A1MY	A1MX	A1MW	A1MV	A1MU	A1MS	A1MR	A1LZ	A1LX	A1H0	A1GX	A1GW	A1GV	A1GU	A1GT	A1GS	A1GR	A1GQ	A1GP	A1GO	A1GM	A1GL	A1GK	A1GI	A1GH	A1GF	A1GE	A1GD	A1GC	A1G8	A1G7	A1E4	A1E3	A1E1	A1E0	A1DV	A1DR	A1DQ	A1DP	A1DO	A1DM	A1DK	A1DH	A1CR	A1CP	A1CN	A1CJ	A1CE	A1CC	A1CA	A1C9	A1C8	A1C5	A1C4	A1C3	A1BY	A1BU	A18C	A18B	A18A	A187	A186	A17U	A17T	A17S	A17R	A17Q	A17N	A17M	A17L	A17K	A17H	A17F	A17D	A17C	A17B	A17A	A179	A177	A176	A175	A174	A16Y	A16X	A16V	A16S	A16R	A16Q	A16O	A16N	A16J	A16I	A16G	A16F	A16E	A16D	A16B	A169	A168	A167	A165	A163	A162	A161	A160	A15Z	A15X	A15W	A15V	A13B	A121	A11Z	A11Y	A11X	A11W	A11V	A11U	A11S	A11R	A11Q	A11P	A11O	A11N	A11M	A11L	A11J	A11I	A11H	A11G	A11F	A11E	A103	A102	A101	A0ZZ	A0ZV	A0ZU	A0ZS	A0ZR	A0ZQ	A0ZP	A0ZO	A0ZN	A0YV	A0YU	A0WQ	A0WH	A0W2	A0W1	A0VZ	A0VX	A0VW	A0VV	A0VT	A0VQ	A0VP	A0VO	A0VI	A0V8	A0V7	A0V6	A0V4	A0UV	A0UT	A0UM	A0UL	A0UJ	A0UF	A0UA	A0U9	A0U8	A0U7	A0U5	A0TJ	A0TI	A0TG	A0TE	A0TD	A0TC	A0TA	A0T9	A0RY	A0RA	A0R9	A0R8	A0R7	A0R6	A0MU	A0MT	A0MS	A0MQ	A0MO	A0MK	A0MI	A0MH	A0MG	A0MC	A0MA	A0M9	A0M8	A0M7	A0M6	A0M4	A0M3	A0M2	A0M0	A0LX	A0LW	A0LV	A0LT	A0LS	A0LP	A0LO	A0LN	A0LM	A0LL	A0LJ	A0LI	A0LH	A0LG	A0LF	A0LE	A0LD	A0L9	A0L8	A0KB	A0K9	A0K8	A0K7	A0K6	A0K4	A0K3	A0K2	A0K1	A0K0	A0JZ	A0JY	A0JX	A0JV	A0JU	A0JT	A0JS	A0JR	A0JN	A0J1	A0IW	A0IU	A0IS	A0GX	A0GW	A0GV	A0GU	A0GR	A0GQ	A0GP	A0GN	A0GM	A0GJ	A0GI	A0GH	A0GG	A0GE	A0GD	A0GB	A0GA	A0G9	A0G5	A0G3	A0G2	A0G1	A0C9	A06L	A06J	A06H	A06F	A06D	A06B	A064	A063	A062	A060	A05Z	A05W	A05U	A05T	A05S	A05P	A05O	A05N	A05J	A05H	A05D	A05A	A059	A056	A054	A053	A052	A051	A4ZD	A3PP	A3NH	A3NE	A3NC	A3EW	A2QY	A2QU	A2QL	A2HD	A2HC	A2HA	A2H8	A2F8	A2AD	A26L	A23O	A1PO	A1M0	A1CK	A1CI	A1CF	A1C7	A13C	A139	A0J0	A0IZ	A0CC	A0CB	A0CA	A05Y
TP53	TP53-001	9.634269999999999	0.647628	1.4759200000000001	3.22749	33.3205	7.29259	5.49228	13.3173	14.3191	20.2223	4.53399	0.0	21.8891	8.66761	1.93925	35.1768	33.9327	10.1951	30.6062	2.84076	2.37584	11.1465	20.7933	19.265	4.01627	0.994943	0.185962	1.21476	2.47627	3.08115	2.43539	1.24915	1.07827	4.48764	3.90734	7.609539999999999	0.326113	11.9045	9.58935	5.72417	13.4822	0.9534520000000001	2.90326	3.18201	0.0	9.4147	1.45764	2.08233	4.29626	6.01605	0.5282479999999999	10.9408	14.9897	10.6481	7.78751	10.7237	10.722999999999999	1.34158	2.5895099999999998	1.92704	5.6837599999999995	0.23287	5.7828800000000005	18.5055	12.6425	14.9362	8.945310000000001	18.1016	6.78023	3.32873	0.22922399999999998	11.2081	1.1393	7.2877600000000005	3.6179699999999997	17.893	0.6624899999999999	40.8892	0.108153	0.608305	0.0	0.0	0.775316	6.87563	5.43385	1.63428	5.00609	0.08379149999999999	0.0736036	1.94823	0.206456	14.6614	4.57426	0.749816	0.396841	14.8417	6.64113	6.750210000000001	21.401999999999997	7.08495	7.43244	18.073	40.5547	3.49235	13.0126	4.2222	0.0	16.3314	13.9211	13.9265	1.71374	38.4982	12.2809	0.08310089999999999	0.0131394	4.0193	21.2912	12.8679	0.261592	11.1639	23.1255	97.9735	15.3809	16.9731	13.2394	16.5254	26.3641	16.9411	1.26264	21.5515	38.8411	0.0	2.5738	0.682398	0.516785	0.24090599999999998	17.9659	9.30617	11.1619	7.01235	0.00267719	10.7725	0.00448096	0.75946	2.04053	4.36679	0.0	0.68507	15.4665	13.1096	2.54635	23.7048	8.38035	22.6588	5.41744	1.5491	14.3521	44.052	36.4275	3.2834800000000004	36.1994	36.139	4.74185e-08	15.558	0.621324	2.15013	61.0659	32.0777	19.9102	0.8134600000000001	43.0155	44.405	11.1377	20.5742	22.1337	29.1652	23.1369	21.0072	33.8047	10.3915	7.679939999999999	3.9990699999999997	46.5597	47.004	26.8026	29.4938	26.8286	26.75	52.9557	2.05381	46.3106	4.64086	5.425	12.8562	9.33789	3.6977800000000003	6.730739999999999	20.4491	8.159289999999999	4.93509	1.31138	5.30539	3.07384	14.3617	0.5187	11.3423	19.1152	33.008	5.09293	1.36076	6.919239999999999	8.91813	15.9874	11.7847	0.8673049999999999	20.2608	15.6554	36.3472	13.7319	2.74975	23.7065	11.0509	1.82257	2.69522	6.2869	3.3813699999999995	25.3468	7.41224	20.2828	40.9227	26.5829	97.8379	1.3022	12.0328	1.3329	11.3595	10.4859	6.43773	1.46153	2.85562	28.6035	20.5235	9.47661	12.1752	4.93074	15.0433	17.6647	15.6142	2.88829	18.3558	24.0101	13.9993	23.1373	10.9969	38.5024	27.1769	11.1876	55.3266	18.205	5.40646	28.1855	19.8246	6.944560000000001	24.2817	20.2811	1.54745	4.24251	9.27352	0.748185	3.05155	2.06872	25.1053	21.921999999999997	0.729071	8.16898	27.5113	6.060969999999999	10.1692	5.90019	35.274	59.4325	0.499749	0.9231440000000001	4.0355	11.3239	11.4902	26.175	36.5358	16.0345	15.5899	11.9243	0.400634	27.5649	19.9842	10.6552	32.7003	4.3977900000000005	0.8167760000000001	18.5253	2.19731	24.2658	18.5725	22.585	24.0038	48.6168	27.7852	30.6187	43.0179	15.6757	22.8531	29.8873	53.9179	2.68273	31.659000000000002	4.168880000000001	9.435189999999999	38.442	32.9751	6.51438	22.1444	31.9328	33.4806	12.6776	23.3469	13.0866	27.519000000000002	64.9821	35.7063	57.573	33.1641	10.1521	8.522039999999999	42.3043	20.8327	15.5356	52.5224	3.62612	20.9513	25.4008	17.8422	9.51637	7.96161	14.949000000000002	29.215	31.3123	20.4029	6.11826e-07	29.4897	10.7144	2.23381	25.7758	10.0796	29.0565	7.23995	17.250999999999998	0.218824	25.7272	25.1167	26.5716	22.3691	7.251360000000001	19.5151	12.5037	35.8238	54.7928	15.6694	16.8538	3.39808	15.3177	32.3348	19.4809	16.8173	3.10585	3.7969699999999995	11.0575	1.7955400000000001	13.9222	29.5302	3.20554	10.1531	4.44568	7.426539999999999	9.5416	13.3333	1.6478700000000002	1.31912	0.0	3.5203699999999998	0.0	1.60525	0.701825	16.8871	9.23194	2.60837	15.3049	20.6816	17.1481	1.1225399999999999	15.0642	13.8797	25.1472	0.00227871	5.76581	7.03995	8.17008	9.07953	4.02013	8.36996	13.5736	4.6379	8.08636	1.9861	3.05118	26.3731	7.2214100000000006	24.5246	23.799	12.4502	8.39737	3.9666	42.9033	10.0915	22.4225	7.0324100000000005	20.4193	7.567810000000001	3.85342	26.2611	26.2068	43.34	10.0911	3.60879	5.27155	11.8858	19.1037	21.2901	20.1937	9.1984	2.98153	14.9605	17.846	3.89824	0.872758	13.0668	6.19349	8.50336	41.0378	3.4086300000000005	0.93806	0.691978	12.8849	23.1468	44.7844	21.559	15.6404	5.55344	6.45068	12.7575	36.2592	1.7373	31.2707	17.8085	3.53649	17.9656	41.1399	24.5256	58.4052	32.4937	12.5124	7.717210000000001	12.7778	7.00913	0.00069907	3.41396	7.00272	12.8347	6.5035300000000005	0.6548189999999999	25.4613	1.87844	4.8133	13.1804	2.1913099999999996	5.27281	1.6215600000000001	14.5704	40.6131	12.2219	12.5988	18.5724	35.635999999999996	32.3226	17.4474	6.67773	25.3536	8.59183	8.503589999999999	18.1174	3.7937	20.418	2.31153	10.0423	1.07376e-08	6.60296	0.133195	5.703069999999999	0.020656	25.1678	11.136	0.00356145	35.5407	7.35197	3.02159	19.2464	7.94567	2.39309	9.51876	23.6992	20.0725	0.0376254	25.2915	21.8569	23.4808	21.441	0.516666	24.6016	12.741095	5.718425	7.44451	14.5814	5.42491	16.03066	3.600402	15.106725	25.40765	18.511285	22.794725	5.149525	23.87145	23.2398	31.22203	0.253348720014	14.6266	45.7641	23.1837	8.90909	12.757275	24.24195	0.0	14.2446	0.835649043343	19.883865	3.88708	0.170752904867	10.059295	1.09593546821	18.583555
TP53	TP53-019	0.279599	0.300577	0.16368	0.222181	0.740688	0.290944	0.49105299999999996	0.659027	0.23372800000000002	0.332496	0.23981100000000002	0.0600669	0.709046	0.339304	0.324858	0.357453	0.33420300000000003	0.0696312	0.7871600000000001	0.102771	0.5651430000000001	0.27966399999999997	0.80772	0.373483	0.36937600000000004	0.0526297	0.10951099999999998	0.17182999999999998	0.22312600000000002	0.43079700000000004	0.31903000000000004	0.368154	0.262128	0.180009	1.04749	0.251836	0.361607	0.355406	0.0867591	0.3535	0.6865319999999999	0.327493	0.46077399999999996	0.16588	0.0952044	0.751577	0.207384	0.539886	0.371675	0.41121499999999994	0.621081	0.29789899999999997	1.07241	0.23895100000000002	0.194775	0.294471	0.277221	0.0976494	0.32019699999999995	0.258257	0.0640826	0.0	0.314663	0.388202	0.30146	0.46573000000000003	0.0719742	0.47751499999999997	0.244615	0.8027270000000001	1.8243900000000002	0.38936	0.290524	0.259592	0.110516	0.26379600000000003	0.100087	0.242081	0.283713	0.142551	0.0	0.0	0.244594	0.284645	0.221806	0.0888605	0.201623	0.0	0.23133800000000002	0.689669	1.6494900000000001	0.533261	0.180982	0.178564	0.034967000000000005	0.356016	0.128549	0.15073399999999998	0.53233	1.12021	0.224669	0.19711199999999998	0.792538	0.509587	0.149116	0.41275	0.23035500000000003	4.41979	0.10081799999999999	0.127448	0.200501	0.535088	4.057169999999999	1.7721799999999999	0.22424899999999998	0.262285	0.487936	0.778511	0.151852	0.0407046	0.227171	1.82005	0.103679	0.580005	1.18967	0.264351	0.816933	0.437208	0.47093599999999997	0.254822	0.174627	0.108188	0.112055	0.287893	0.385397	0.350071	0.187546	0.374317	0.442029	0.781302	0.490521	0.561419	0.138433	0.06917580000000001	0.0	0.461379	0.102426	0.06986460000000001	0.0	0.06789400000000001	0.0564124	0.103144	0.0848367	0.0	0.57239	0.0627142	0.0964932	0.120032	0.0	0.12638	0.20474	0.0	0.140213	0.0	0.200546	0.0	0.11595899999999999	0.9416469999999999	0.0	0.0	0.6130140000000001	0.0	0.22057800000000002	0.0717444	0.23313899999999999	0.172646	0.09721519999999999	0.294806	0.170033	0.8300209999999999	1.1122	0.21868600000000002	0.0	0.13508599999999998	0.592792	0.0	0.0856886	0.12453800000000001	0.652783	0.10945	0.125359	0.0771326	0.149687	0.37972	0.25269400000000003	0.393717	0.24457600000000002	0.373197	0.336251	0.303885	0.212971	0.229266	0.295286	0.08845900000000001	0.14976099999999998	0.0821277	0.0	0.0	0.0682522	0.19955799999999999	0.20579099999999997	0.0	0.0	0.130582	0.101175	0.0	0.0	0.248256	0.127911	0.0	0.09724400000000001	0.14463299999999998	0.367001	0.0	0.0	0.2756	0.435216	0.0	0.0	0.880875	0.0	0.15146700000000002	0.746058	0.0	0.122525	0.09507489999999999	0.0598238	0.260479	0.051143	0.260311	0.0	0.183166	0.0	0.0	0.095983	0.6342899999999999	0.234882	0.220293	0.180335	0.0	0.141599	0.0858695	0.262319	0.11876800000000001	0.0	0.0634742	0.0	0.0	0.16885899999999998	0.0667372	0.25922	0.0	0.132735	0.0884075	0.0903057	0.0955028	0.0	0.07744789999999999	0.39064499999999996	0.0	0.107697	0.0	0.0	0.0	0.0	0.0	0.10993399999999999	0.0	0.0	0.0	0.339187	0.34034699999999996	0.0	0.332726	0.0	0.0851033	0.0	0.24000300000000002	0.0	0.286069	0.189563	0.09430880000000001	0.414595	0.0	0.0	0.289292	0.055187599999999996	0.109491	0.0	0.142449	0.0	0.0	0.720584	0.176492	0.206777	0.189158	0.502066	0.221498	0.283727	0.0	0.0	0.291727	0.059544900000000005	0.0	0.12253599999999999	0.18243399999999999	0.53415	0.24369899999999997	1.14936	0.16203599999999999	0.0	0.16706600000000002	0.0888457	0.11201099999999999	0.0	0.313552	0.24507600000000002	0.0	0.0	0.165257	0.135845	0.0	0.0	0.0	0.0	0.0	0.329017	0.127572	0.0	0.280452	0.0	0.14391199999999998	0.0	0.20712399999999997	0.27258899999999997	0.31590100000000004	0.117224	0.149981	0.0	0.0	0.22888000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.42609600000000003	0.23998699999999998	0.321222	0.0	0.0	0.0	0.0	0.43715600000000004	0.0	0.0830064	0.0	0.0	0.0	0.0	0.18098	0.196379	0.0418533	0.0775663	0.12825999999999999	0.106923	0.10107999999999999	0.0	0.0	0.05225269999999999	0.0	0.181763	0.0670933	0.571832	0.0574	0.64442	0.0618336	0.252357	0.0	0.1548	0.16181500000000001	0.07972130000000001	0.0366496	0.0	0.0	0.11096700000000001	0.11161199999999999	0.0	0.0959962	0.0	0.0	0.06575239999999999	0.0	0.0	0.0	0.0	0.19376600000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.180866	0.0	0.0	0.20714200000000002	0.0	0.37280100000000005	0.0	0.0	0.269633	0.0	0.0	0.10271400000000001	0.0	0.0	0.0	0.448772	0.12976400000000002	0.0	0.0	0.144145	0.0	0.428457	0.0744312	0.0	0.0	0.0	0.0	0.0	0.08880930000000001	0.0	0.0804034	0.0	0.0	0.0606977	0.0	0.036932599999999996	0.249635	0.0	0.20681599999999997	0.342074	0.0952577	0.0741182	0.0711051	0.12038900000000001	0.0	0.0	0.0	0.0	0.213067	0.100348	0.47303100000000003	0.0	0.0	0.0	0.0	0.691997	0.131826	0.07566360000000001	0.08997360000000001	0.0	0.0	0.0847984	0.11698	0.09883739999999999	0.307195	0.060248300000000005	0.05818330000000001	0.12093	0.160576	0.0535677	0.12369200000000001	0.0601299	0.0	0.0850815	0.062174900000000005	0.101775	0.0	0.0	0.08561619999999999	0.08499860000000001	0.0	0.190939	0.0792992	0.0	0.0	0.0	0.0	0.0	0.208038	0.0827784	0.0	0.1913	0.0	0.211644	0.05321119999999999	0.22359600000000002	0.307532	0.520588	0.15016400000000002	0.0	0.0762427	0.0	0.160518	0.0	0.0	0.0	0.17136099999999999	0.161329	0.514605	0.121022	0.0	0.39970900000000004	0.4646365	0.2488095	0.2221845	0.5878815	0.383648	0.498982	0.420787	0.03709945	0.134933	0.0671565	0.21064225	0.190878	0.883082	0.0962506	0.4804485	0.253348720014	0.154077	0.153314	0.1290832	0.113401	0.0909575	0.0	0.0	0.0950915	0.835649043343	0.3160985	0.087323	0.170752904867	0.4807736	1.09593546821	0.2567285
TP53	TP53-018	0.17943699999999999	0.0	0.0	0.042846499999999996	0.356261	0.0578563	0.140103	0.401391	0.317479	0.123726	0.193528	0.222816	0.21534	0.164994	0.16778800000000002	0.11701600000000001	0.394606	0.250665	0.21886799999999998	0.0477974	0.0247375	0.42951300000000003	0.366081	0.318979	0.317361	0.167128	0.021428	0.152115	0.06621039999999999	0.20583200000000001	0.203231	0.219073	0.117076	0.100895	0.154693	0.43814899999999996	0.16483	0.193698	0.1368	0.24871	0.32088	0.0988461	0.146724	0.0255889	0.117774	0.0551597	0.253359	0.166243	0.0827041	0.0737509	0.15645499999999998	0.267426	0.08071510000000001	0.149349	0.03798769999999999	0.07708689999999999	0.332404	0.15166500000000002	0.210296	0.206923	0.264243	0.0753443	0.13234100000000001	0.304825	0.105526	0.09143330000000001	0.10952200000000001	0.0	0.0926555	0.353029	0.188448	0.0711065	0.160241	0.115441	0.042777300000000004	0.207677	0.148269	0.356703	0.0975925	0.09853719999999999	0.0	0.0	0.283479	0.251411	0.255832	0.09942360000000001	0.22083899999999998	0.10465999999999999	0.0	0.138466	0.0	0.121143	0.34137	0.114988	0.149081	0.316715	0.29223699999999997	0.0826412	0.042029699999999996	0.311871	0.227729	0.25050300000000003	0.26119000000000003	0.11365499999999999	0.141902	0.06606160000000001	0.0402758	0.315757	0.196507	0.13630899999999999	0.113175	0.109394	0.150094	0.0	0.0	0.09292919999999999	0.29022800000000004	0.45815100000000003	0.105308	0.129633	0.815956	0.176555	0.22168200000000002	0.21136799999999997	0.137474	0.156747	0.320502	0.336081	0.137363	0.0	0.0	0.0	0.0546581	0.0	0.0691469	0.0	0.379463	0.28928000000000004	0.302915	0.118921	0.029590699999999998	0.35199	0.0	0.0	0.27421999999999996	0.26433	0.0637202	0.302327	0.28863099999999997	0.191659	0.0	0.49343100000000006	0.685733	0.202076	0.209271	0.0	0.104956	0.107654	1.1755	0.17397	0.6820189999999999	0.13361199999999998	0.0228886	0.110952	0.5055350000000001	0.0	0.267303	0.16659200000000002	0.0	0.351097	0.48832700000000007	0.14238499999999998	0.0	0.07620419999999999	0.43586199999999997	0.0	0.0	0.184277	0.43735	0.0542423	0.28686	0.714535	0.164671	0.177776	0.6776449999999999	0.472053	0.18445599999999998	0.139807	0.599525	0.24995100000000003	0.371922	0.143129	0.14885199999999998	0.0341967	0.0998762	0.05457719999999999	0.157608	0.0	0.43329399999999996	0.111055	0.0339581	0.102383	0.168578	0.0	0.129654	0.0862955	0.443879	0.21142600000000003	0.110177	0.134217	0.262583	0.283858	0.10528299999999999	0.29551700000000003	0.07548189999999999	0.08593060000000001	0.339925	0.0	0.28707	0.0961289	0.315853	0.0	0.0	0.10721800000000001	0.161227	0.22598200000000002	0.22204899999999997	0.727097	0.143285	0.150372	0.0	0.41695	0.416882	0.44464899999999996	0.183291	0.10703599999999999	0.1341	0.288175	0.0643293	0.358023	0.268859	0.212315	0.101126	0.0	0.46311499999999994	0.164096	0.0495172	0.120681	0.0	0.41528400000000004	0.0	0.0891028	0.368315	0.272478	0.250644	0.0	0.0	0.397146	0.276246	0.0	0.437779	0.27976100000000004	0.0	0.18298299999999998	0.09313250000000001	1.0001799999999998	0.31355	0.220531	0.36839	0.111151	0.12718800000000002	0.843824	0.16789400000000002	0.0	0.394737	0.905167	0.195846	0.429421	0.0	0.426483	0.101726	0.0502735	0.130183	0.140764	0.196905	0.169761	0.134774	0.184002	0.0	0.129279	0.0743213	0.269148	0.160932	0.358593	0.0736928	0.0	0.0690781	0.162634	0.0	0.0	0.110925	0.0	6.479560000000001e-05	0.0	0.328368	0.744721	0.0	0.53783	0.0	0.16358	0.23125300000000001	0.126328	0.0716196	0.10780899999999999	0.084726	0.17266600000000001	0.32161	0.6352939999999999	5.82415	0.390371	0.125394	0.0	0.0	0.107735	0.0	0.14173	0.201105	0.41480100000000003	0.168649	0.40589699999999995	0.29516	0.0	0.142414	0.0	0.356522	0.146045	0.197739	0.107021	0.133211	0.0	0.0	0.0	0.0	0.144663	0.205473	0.100358	0.22741	0.5545180000000001	0.08815830000000001	0.0	0.20504899999999998	0.0	0.12103599999999999	0.295984	0.0	0.0	0.0	0.7129260000000001	0.0	0.0	0.0893776	0.0	0.07700599999999999	0.0	0.0	0.402985	0.439778	0.253235	0.116177	0.332154	0.49562799999999996	0.18748099999999998	0.0	0.0	0.124753	0.28615100000000004	0.213017	0.0	0.0	0.0	0.109476	0.0	0.5703060000000001	0.0680297	0.0580717	0.0	0.0492769	0.0	0.025212900000000003	0.547712	0.0	0.344549	0.10358099999999999	0.0447112	0.5058020000000001	0.11595799999999999	0.128906	0.186077	0.43052299999999993	0.21518400000000001	0.21186	0.0	0.0	0.0	0.320775	0.0	0.0695836	0.0829696	0.10528199999999999	0.8286870000000001	0.0	0.23563800000000001	0.0	0.0	0.0	0.10156699999999999	0.112352	0.42431899999999995	0.0	0.0428918	0.0	0.17408800000000002	0.141031	0.0	0.174536	0.12576800000000002	0.057835500000000005	0.24034899999999998	0.00664054	0.20135999999999998	0.364182	0.110983	0.14613199999999998	0.0931715	0.09439689999999999	0.0	0.0	0.0	0.145755	0.160166	0.0	0.0	0.054446	0.177156	0.0919893	0.0	0.318006	0.22290100000000002	0.338758	0.0453013	0.263698	0.0	0.44420699999999996	0.254795	0.0	0.0809702	0.162244	0.0	0.0	0.0617197	0.29257	0.44709499999999996	0.06704389999999999	0.0	0.510216	0.200499	0.684343	0.191492	0.0	0.15861	0.120026	0.0	0.211277	0.30848200000000003	0.0730845	0.0	0.0644054	0.07950030000000001	0.37199	0.0709354	0.0	0.0	0.130023	0.128314	0.23788099999999998	0.0671122	0.21127100000000001	0.106027	0.07274119999999999	0.0770573	0.14404	0.37611500000000003	0.17816700000000002	0.09104780000000001	0.392352	0.0	0.0894799	0.360063	1.15656	0.0	0.134494	0.0	0.251352	0.103003	0.4012	0.0	0.1871	0.0	0.0	0.0294027	0.37294099999999997	0.0	0.0	0.0	0.08271469999999999	0.0	0.0	0.0	0.0	0.0	0.173566	0.0	0.930399	0.13908800000000002	0.0	0.0	0.3361235	0.10033675	0.1006601	0.1324561	0.173223	0.1755005	0.08666505	0.331774	0.139291	0.1481116	0.21974985	0.59777	1.795414	0.362	0.2217855	0.253348720014	0.490736	1.52253	0.517939	0.1351371	0.33655	0.1383805	0.0	0.0855355	0.835649043343	0.2039218	0.0	0.170752904867	0.6735525	1.09593546821	0.3227794
