index	Transcript	AB19	AB14	AB0T	AB0Q	AB0O	AB0F	AB0E	AB0D	AAZ3	AAZ2	AAZ1	AAYX	AAY1	AAY0	AAXZ	AAXY	AAXX	AAXW	AAXV	AAAP	AAAH	AAAF	AAAA	AAA7	AA9L	A9ZZ	A9WF	A9V6	A9RR	A9QX	A9QW	A9QU	A9QT	A9QS	A9QR	A9QN	A9QM	A9QL	A9QJ	A9QI	A9FD	A9FC	A9FB	A9FA	A9F9	A96V	A96R	A96Q	A96P	A96O	A96M	A96L	A96K	A96I	A96H	A96G	A96F	A96E	A96D	A96C	A96B	A96A	A969	A966	A965	A964	A963	A962	A961	A95H	A95G	A95F	A95E	A95D	A936	A933	A932	A931	A930	A92Z	A92Y	A92X	A92W	A92V	A92U	A92T	A92Q	A92O	A8YW	A8RL	A8RI	A8RH	A8RG	A8RF	A8RE	A8RD	A8RC	A8RB	A8R9	A8R8	A8OM	A8M8	A8M7	A8M6	A8M5	A8M4	A8M3	A8M1	A8M0	A8DJ	A8DG	A8DF	A8DE	A8DD	A8DB	A8D9	A8D8	A853	A8D7	A8D6
S100A10	S100A10-002	84.8608	102.101	379.983	297.378	157.754	176.264	243.248	38.4636	200.005	195.247	161.537	55.26	132.491	183.484	140.718	148.431	181.688	264.425	130.482	152.861	133.514	128.407	153.328	104.367	243.812	64.0668	132.403	254.295	217.109	146.053	112.241	174.84400000000002	36.811	166.69799999999998	201.77599999999998	738.1569999999999	440.815	215.37900000000002	139.709	175.343	161.24200000000002	120.355	101.678	202.34400000000002	168.185	110.876	103.861	214.233	63.3638	239.722	461.98800000000006	192.187	623.17	67.8563	474.401	144.394	214.628	145.285	262.72	390.042	181.31	165.845	298.23400000000004	67.0143	255.171	131.704	264.715	318.80400000000003	48.3198	107.32799999999999	103.214	217.015	96.6901	431.03	32.7205	69.743	130.314	163.356	126.54799999999999	440.286	75.842	345.71	90.7506	344.705	190.83700000000002	196.822	249.29	193.019	94.45200000000001	54.111000000000004	311.191	104.581	117.96799999999999	327.974	146.83	106.507	50.5755	129.578	171.301	143.768	105.501	127.48299999999999	270.284	115.81299999999999	212.69299999999998	122.064	348.75300000000004	231.106	237.942	135.036	197.247	164.958	131.237	110.829	80.8798	228.168	136.91299999999998	142.36700000000002	143.009	190.83885
S100A10	S100A10-001	12.9832	10.3196	34.5606	31.663	12.5813	8.84295	19.9089	3.05462	31.1347	25.8609	22.5884	5.15907	9.13852	14.452	15.1795	7.66022	14.0553	21.0522	17.2294	15.2531	7.233389999999999	7.72853	15.8528	7.0373399999999995	13.2468	8.139710000000001	8.93774	16.0133	15.9057	15.1003	8.57058	16.4003	3.39417	11.5581	13.2307	67.2355	52.8533	18.3578	14.3782	10.5409	20.518	6.59545	10.5094	18.5341	10.8218	9.82291	6.37066	19.5638	6.21272	16.5918	44.5015	18.6578	57.803000000000004	5.97649	36.0824	9.6414	16.2418	12.3772	26.2831	35.9898	12.4163	12.4375	27.7225	3.3399699999999997	33.1837	14.686	20.3868	36.006	4.16582	10.759	6.66551	19.1965	4.88627	70.7162	3.52846	7.14969	14.7421	11.5219	8.10258	45.4628	8.129489999999999	38.4606	7.783989999999999	45.0892	22.9978	15.404000000000002	27.5747	14.3347	10.2997	5.76187	24.6704	8.47926	15.0777	26.0566	19.5815	11.4406	6.18524	11.5957	10.1688	13.8713	4.94533	10.3374	12.0086	6.66282	19.7229	11.164000000000001	38.6186	21.7619	23.194000000000003	14.9405	19.6923	14.7611	14.5934	6.733860000000001	5.52236	22.3363	16.009	16.101	18.20585	25.26578
S100A10	S100A10-004	1.0213	0.562844	2.14764	3.01268	0.0	0.0	0.513573	0.0	3.97661	0.0	0.5349729999999999	0.0	0.0	0.0	0.0	0.770464	0.7076060000000001	7.877339999999999	0.41817	0.0	0.535782	0.725057	1.04069	0.92771	0.6997899999999999	1.8627099999999999	0.0	13.5842	3.1524099999999997	0.0	0.0	0.0	0.0	0.887741	0.0	1.1979799999999998	2.97894	1.26338	0.42129300000000003	0.93235	3.4446	0.5269159999999999	0.6916640000000001	3.25585	0.57072	0.0	0.0	7.88075	0.474555	2.48311	6.60964	2.40345	11.607999999999999	2.7929	5.221419999999999	0.0	2.31926	0.0	0.701579	5.06383	1.5116100000000001	0.628781	2.5886099999999996	0.0	4.69672	9.5	3.3513300000000004	5.97095	4.55091	1.4657	1.82162	9.952	0.0	6.11506	0.0	0.882223	0.0	3.22722	2.7885	7.6826300000000005	0.48181599999999997	0.9686530000000001	1.18238	3.46945	2.62745	4.40179	2.02713	0.782419	1.219	0.0	7.40672	0.466124	5.08873	1.5199200000000002	0.0	1.3067600000000001	0.704846	0.488566	1.89297	1.35969	1.3413	0.0	1.39601	0.0	0.43047399999999997	0.0	7.454510000000001	1.7212900000000002	4.72443	0.0	3.5015699999999996	0.0	0.5996739999999999	1.0417299999999998	0.7197720000000001	3.60185	0.644338	0.9024110000000001	1.5678395	6.2932085
S100A10	S100A10-003	34.301	29.2696	38.0183	74.1082	50.1851	3.04943	37.0861	0.29489499999999996	66.219	62.8399	41.2256	16.9099	16.8854	24.9789	0.0	19.9151	57.3056	84.2993	38.3026	31.7299	6.0495	31.6001	52.88	13.8015	30.9568	18.8624	19.87	112.169	10.0397	22.6623	8.5456	29.7411	8.470180000000001	35.3891	32.8339	178.235	132.444	53.8737	33.3229	9.51436	46.5744	21.5268	30.8719	40.5936	23.4721	36.4192	25.1081	91.3746	21.0927	56.0718	196.213	71.2257	232.422	20.4814	123.97	29.6728	71.9506	50.1239	96.7494	160.36700000000002	51.4792	20.7398	102.191	20.2247	119.617	54.8067	83.7517	132.014	13.1061	28.732	33.563	84.28299999999999	11.8753	182.91	10.1561	30.185	28.7571	32.4834	44.1982	164.27200000000002	27.3983	76.6419	18.324	125.44200000000001	59.495	55.8546	69.4389	39.2089	26.3825	14.4035	104.184	24.0808	35.2373	64.7068	43.8236	25.2739	13.0466	28.6293	31.6067	39.3004	0.717481	27.5602	11.5779	4.56684	30.6971	24.8825	131.436	74.3513	64.1799	38.0622	43.8716	35.8226	39.3111	8.58843	13.5993	55.6418	43.4409	41.4734	42.68595	70.8146
S100A11	S100A11-001	767.329	729.22	1134.42	622.328	476.005	644.086	1091.4	146.159	1126.01	788.7460000000001	785.423	476.25699999999995	499.005	723.928	221.747	463.471	737.0419999999999	776.595	453.275	713.4580000000001	409.22900000000004	577.621	345.10400000000004	644.252	536.619	565.695	542.56	1106.22	1383.73	641.187	409.702	1024.57	410.475	540.076	1577.16	3549.72	631.51	627.592	487.3	715.2130000000001	537.273	450.148	534.0419999999999	454.75199999999995	567.745	685.946	613.081	535.356	544.181	419.827	717.846	1115.0	640.131	604.53	1579.29	559.837	602.645	1098.31	529.786	579.269	603.503	1089.29	1368.96	410.219	1773.82	1218.65	834.3839999999999	1065.05	352.86400000000003	590.863	730.71	458.745	681.622	969.618	142.70600000000002	347.42900000000003	1379.84	769.315	526.366	1712.05	927.691	978.85	761.9830000000001	885.314	523.523	1366.82	1697.13	1061.49	1179.9	327.996	872.0089999999999	498.314	609.827	1201.18	535.763	990.882	504.707	294.991	841.971	278.578	276.112	635.259	695.321	523.464	1146.71	470.89300000000003	2533.37	763.837	724.456	569.716	420.436	492.166	713.993	408.04400000000004	605.761	738.5219999999999	655.9910000000001	639.6030000000001	722.6055	492.9155
S100A11	S100A11-002	0.163736	0.47067700000000007	0.0	0.372665	0.0	0.0	0.9070299999999999	14.4419	0.25121	0.348727	0.362616	0.302158	0.598174	0.0	935.199	1.22581	0.49196000000000006	1.04092	0.342505	0.0	0.0	0.0	0.0	0.7248319999999999	0.0	0.6721020000000001	0.0	1.1054	3.42228	0.718249	0.0	0.80769	0.0	0.0	0.0	1.87837	0.180566	0.555775	0.891811	0.7127720000000001	0.0	0.7680939999999999	0.344889	0.458002	0.0	1.58743	0.26673800000000003	0.785018	0.153472	0.0	0.0	0.737648	0.0	0.0	0.617835	0.0	0.0	0.26787	0.5292899999999999	0.253616	0.558322	0.33954	0.598906	0.717425	0.8407709999999999	1.0622	0.42276499999999995	0.379411	0.287536	0.21034699999999998	0.17181	0.290516	0.0	0.77877	0.24560500000000002	0.557279	0.627069	0.34720300000000004	0.187367	0.257972	0.554603	0.386205	0.80865	0.212223	0.0	0.399321	0.991067	0.0	1.02144	0.19836800000000002	1.41678	0.200438	0.186882	0.470783	0.630818	0.6320520000000001	0.0	0.452276	0.0	0.188086	87.8902	0.0	5.64269	0.0	0.324265	0.0	1.61417	0.244581	0.132409	0.20689000000000002	0.0	0.0	0.8732690000000001	0.0	0.667928	0.650277	0.491396	0.6496029999999999	0.5872985	0.4041925
TCHHL1	TCHHL1-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013479499999999998	0.0	0.00578258	0.0	0.0	0.0	0.0	0.0	0.0	0.0685469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0160333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00906472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00897464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019378299999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005536800000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCHH	TCHH-001	0.046005800000000006	0.104325	0.0106973	0.0185823	0.053191999999999996	0.0128148	0.0	0.0108595	0.011024700000000002	0.0333608	0.028603899999999998	0.0556264	0.0063757	0.0213805	0.0	0.00840527	0.0426108	0.110393	0.029693999999999998	0.0175918	0.012677299999999999	0.032718000000000004	0.0466466	0.0497384	0.0546385	0.198969	0.0472212	0.029845099999999996	0.0201875	0.0633474	0.0144531	0.07262	0.00426847	0.06999680000000001	0.024836900000000002	0.049333300000000004	0.0249648	0.033855199999999995	0.00483692	0.0886497	0.040335	0.026447199999999997	0.0661182	0.0203965	0.0342515	0.0221147	0.0213079	0.072573	0.027451	0.00928482	0.15862	0.04235680000000001	0.127915	0.24420999999999998	0.04675719999999999	0.0203702	0.0126412	0.0320622	0.0938725	0.0	0.0	0.00446374	0.0193125	0.0512819	0.019274	0.0210126	0.0821528	0.0636577	0.0465282	0.0255602	0.059676599999999996	0.0635706	0.0318512	2.83617e-09	0.0202116	0.0152471	0.019377099999999998	0.0468416	0.012662999999999999	0.176336	0.06054009999999999	0.0100086	0.236804	0.045041000000000005	0.0630564	0.054432900000000006	0.020734700000000002	0.0116345	0.00241826	0.021868400000000003	0.046249599999999995	0.0793557	0.027552999999999998	0.021569400000000002	0.05559730000000001	0.132652	0.31964699999999996	0.0609399	0.03126	0.0553443	0.013990299999999999	0.026617200000000004	0.029085200000000002	0.012659	0.012165899999999999	0.06658810000000001	0.11720699999999999	0.0968058	0.0794448	0.102167	0.0164429	0.0256122	0.07935700000000001	0.010896600000000001	0.0323736	0.0759706	0.0520822	0.0739716	0.05034495	0.0941751
TCHH	TCHH-201	0.0	2.0651799999999998e-08	4.953219999999999e-10	2.65658e-10	1.04008e-09	1.00929e-09	0.0190179	0.0	0.0	1.42569e-09	1.0039e-09	8.44299e-09	1.26311e-10	1.0702e-09	0.0	0.0	2.9713499999999997e-09	8.09952e-10	8.41517e-11	1.29922e-10	0.0	0.0	7.27586e-11	4.23364e-10	0.0	0.0	5.55453e-10	9.018639999999999e-10	0.0	0.0	6.48699e-11	1.28004e-09	0.0	9.00407e-11	2.9833899999999996e-09	1.18908e-08	0.0	4.52778e-11	1.15254e-10	6.19704e-11	1.93309e-09	8.154989999999999e-10	5.88709e-11	2.3142299999999998e-09	5.85493e-10	0.0	0.0	4.09749e-10	0.0	0.0	2.71863e-11	0.0	7.75763e-09	1.0915399999999999e-08	1.59252e-10	0.0	0.0	0.0	1.05755e-08	0.100836	0.040792199999999994	4.93063e-11	9.91147e-10	3.7599e-10	8.8395e-11	1.3492e-09	3.864169999999999e-10	0.0	1.7924500000000002e-09	6.138580000000001e-10	0.0	6.547540000000001e-10	2.2915e-10	0.16431800000000002	9.30429e-11	0.0	4.23677e-11	3.03969e-09	6.55405e-11	6.839739999999999e-09	0.0	2.34542e-09	2.83084e-10	0.0	0.0	1.7730200000000001e-10	0.0	3.4600300000000007e-10	3.7182599999999996e-10	7.90095e-11	3.94415e-11	0.0	0.0	1.2337999999999998e-09	6.516310000000001e-09	1.3278199999999999e-09	2.19987e-08	7.36718e-09	1.29448e-09	3.729930000000001e-10	4.2613400000000004e-10	4.43594e-10	0.0	6.05345e-10	4.11848e-11	0.0	6.004149999999999e-09	0.0	8.531939999999999e-10	6.63319e-11	0.0	2.6895399999999998e-09	6.31074e-09	9.37025e-11	0.0	3.9286900000000004e-09	2.6913500000000002e-09	5.37605e-11	0.0963955007956	6.19185e-10
RPTN	RPTN-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0198326	0.0	0.0	0.0	0.00966882	0.0	0.0	0.0	0.202533	0.0	0.0	0.14172	0.00570188	0.0	0.0136001	0.0	0.0	0.0	0.0	0.796812	0.00941875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00459489	0.0	0.0200092	0.0	0.0	0.08419349999999999	0.0	0.028308999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11792000000000001	0.0	0.0	0.00722531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0357523	0.0	0.0	0.00598197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00762078	0.0	0.00581992	0.0	0.0	0.0	0.0	0.0	0.0	0.00555761	0.0	0.0	0.0	0.00631653	0.0	0.0	0.0	0.015762799999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016586700000000003	0.0	0.00702254	0.0	0.00825609	0.0	0.0	0.0	0.0493242	0.0	0.0	0.0	0.00740155	0.0	0.1470376	0.0
