index	Transcript	AB3X	AB3U	AB3T	AB3S	AB3O	AB3M	AB3L	AB3K	AASU	AAC7	AAC6	AAC5	AAC4	AAC1	AABZ	AABY	AA5Z	AA4M	A9VW	A9VV	A9VU	A9VS	A9VQ	A9VP	A9VO	A9CU	A9CT	A98J	A98I	A98H	A98G	A98F	A98E	A98D	A97Y	A95C	A95B	A8AY	A8AV	A8AS	A8AI	A8AF	A88G	A88E	A88D	A88C	A7PB	A7P8	A7P7	A7P6	A7P3	A7P1	A7P0	A7OZ	A7OY	A7OU	A7BH	A7BD	A7BC	A6LR	A6LQ	A6LP	A6LN	A6LM	A6BS	A6BR	A6BQ	A6BN	A6BL	A638	A57I	A4O7	A4O6	A4O5	A4O4	A4O2	A4O0	A4NZ	A4NY	A4NW	A4LV	A4LP	A4LM	A4LJ	A4LI	A4LC	A4KX
TP53	TP53-013	0.0845062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08375089999999999	0.0	0.0	0.0	0.101609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0908951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.150741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.102344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0786081	0.0
TP53	TP53-016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TP53	TP53-017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6662100000000001	0.0	0.6852060000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.586901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TP53	TP53-020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.297926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.4785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TP53	TP53-022	0.113501	0.20606300000000002	0.9015569999999999	0.399465	0.22798000000000002	0.0	0.0	0.6351979999999999	0.347071	4.477840000000001e-08	1.03682	0.0	1.9341099999999998	0.706041	0.206249	8.48741e-09	0.333442	0.368529	0.784723	0.0869199	0.673689	0.230242	0.749478	8.864460000000002e-08	0.45033100000000004	0.344915	0.472049	0.0	0.9111959999999999	0.0	0.8189890000000001	1.2433	0.0	0.118077	0.288273	1.1355499999999999e-09	0.0123502	0.113571	0.18759800000000001	0.336517	0.400866	0.483451	0.0	0.044945599999999995	1.03356	0.34174499999999997	0.0	0.34417	2.50989	0.0	0.100379	0.46373500000000006	0.0957766	0.161556	0.30738899999999997	0.08581330000000001	0.0	0.0	3.66019e-10	0.421703	1.13879e-06	0.264522	0.5066350000000001	1.37681	0.22716799999999998	0.145637	0.149359	0.0	0.0	0.0	0.863713	0.122629	0.0	0.655046	0.0	0.7062729999999999	0.350186	0.0	0.494454	0.580079	1.04485	0.194977	1.15939	0.269863	0.169435	0.9495309999999999	0.0
TP53	TP53-027	0.0	0.0	0.0794337	0.0	0.0	0.00492287	0.0	0.00894932	6.39143e-08	0.0	0.0	0.0	0.0	2.64915e-09	0.054978599999999996	0.0	1.6591099999999998e-10	2.9227e-10	0.0	0.306819	0.0	0.0	3.2006900000000006e-10	0.127046	9.037180000000001e-08	0.0	0.0	0.000157247	0.0	0.0009659569999999999	0.0	3.47886e-08	0.0	1.6623e-09	0.555843	0.0	3.0409699999999998e-06	0.0	0.0	8.882299999999999e-10	0.0	0.0	0.0	9.579840000000001e-05	0.0	0.178599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.02453e-06	7.57e-06	0.0408264	3.29028e-05	0.0	0.0	0.0	0.0	0.015392600000000001	1.1974099999999999e-07	0.0	0.00920829	0.111228	0.000561498	9.08618e-11	0.0	0.0	0.0	3.45904e-05	0.0	1.04052e-10	5.6917999999999994e-06	4.2116800000000005e-09	0.0	0.543354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0948253
TP53	TP53-026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TP53	TP53-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0838939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042216699999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TP53	TP53-202	0.0	0.316877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.754437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000192003	0.0	0.0	0.0	0.426969	0.0	0.0	0.0	0.0	0.0	0.0	0.00706015	0.0	0.0	0.0	0.0	0.0	0.0	0.325676	0.161296	0.0	0.0	1.00465	0.0	9.05229e-09	2.42374e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3426599999999998e-10	0.0	0.0	0.0	1.00055e-08	0.0	0.0	0.0	0.0	0.0	0.266417	0.0	0.0	0.170851	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TP53	TP53-024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.70803e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.93932e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
