index	Transcript	AB0B	AA9E	AA9A	AA8T	AA8S	AA8R	AA8Q	AA8P	AA8O	AA8N	AA8M	A9ZY	A9ZX	A9F8	A9F7	A9F5	A9F4	A9F3	A9F2	A9F1	A9F0	A9EZ	A9EY	A9EX	A9EW	A9EV	A9EU	A9ET	A9ES	A9EQ	A9EO	A9EM	A9EL	A9EK	A9EJ	A9EI	A9EH	A9EF	A9EE	A9ED	A9EC	A9EA	A9E9	A9E8	A9E7	A9E5	A985	A984	A983	A982	A980	A8KO	A8KN	A8KM	A8KL	A8KK	A8KJ	A8KI	A8KH	A8KG	A8KF	A8KE	A8KD	A8KB	A8KA	A8K9	A8K8	A8K7	A88A	A888	A885	A884	A883	A882	A881	A880	A87Y	A87W	A87U	A87T
TP53	TP53-001	11.9267	13.3631	4.049259999999999	7.547839999999999	11.3455	8.7861	5.98926e-08	12.9252	18.340999999999998	3.9780699999999998	12.9046	7.69451	15.4742	23.7247	4.9957400000000005	4.10955	18.8487	15.5361	5.73273	11.7455	12.1121	7.2807	18.2851	14.8523	10.669	12.6135	4.39907	12.6223	8.49305	21.115	13.454	19.6466	6.59285	6.799460000000001	7.033919999999999	13.7125	12.0081	14.2544	16.4887	9.1128	3.3243	20.4513	9.85142	11.3827	11.3255	9.61682	20.6934	8.62323	7.17944	21.6514	8.377939999999999	12.5125	10.7146	6.44421	8.80185	3.31345	10.1686	9.250589999999999	8.79762	10.6323	14.6133	15.7118	10.2472	11.5878	15.264000000000001	14.4808	15.1299	7.11757	7.75212	4.748530000000001	7.39677	14.3735	1.37742	9.78828	2.90388	9.664639999999999	10.5187	13.1261	4.75408	4.2281
TP53	TP53-019	0.22316599999999998	0.0977633	0.208521	0.0	0.158681	0.282549	0.0666117	0.0545332	0.0459331	0.0	0.122852	0.222498	0.256079	0.598905	0.332957	0.030032599999999996	0.06612589999999999	0.335755	0.0897016	0.141468	0.154204	0.0	0.44068599999999997	0.26897	0.10602	0.27297	0.06622180000000001	0.0	0.42449899999999996	0.04433	0.385256	0.0	0.077074	0.048913599999999995	0.0	0.222192	0.16878800000000002	0.203611	0.31940599999999997	0.147768	0.0	0.102754	0.0346072	0.124547	0.0830612	0.06607589999999999	0.0	0.10753499999999999	0.170702	0.08276560000000001	0.260883	0.537071	0.160669	0.055760199999999996	1.51605	0.17815999999999999	0.0479722	0.933843	0.192787	0.0726812	0.20323	0.2768	0.335926	0.12828399999999998	0.286989	0.294831	0.208688	0.529472	0.0409918	0.216155	0.10771199999999999	0.307028	0.0501966	0.052839699999999996	0.0550332	0.057867999999999996	0.09668539999999999	0.530125	0.09103710000000001	0.189729
TP53	TP53-018	0.246206	0.21142399999999997	0.151375	0.0	0.0513318	0.0506194	0.0	0.0	0.10670299999999999	0.0	0.0	0.0	0.06040689999999999	0.0683909	0.0472796	0.0	0.09371089999999999	0.180302	0.048884500000000004	0.134744	0.0	0.0	0.061949000000000004	0.18128699999999998	0.218137	0.0573688	0.313313	0.0	0.04235680000000001	0.0	0.112626	0.13234100000000001	0.10987100000000001	0.44633500000000004	0.0378471	0.164681	0.0	0.08753589999999999	0.39503499999999997	0.0	0.0316875	0.010973700000000001	0.004642	0.060790199999999996	0.062325900000000004	0.0351276	0.0	0.056118799999999996	0.159948	0.0	0.056022	0.0	0.10908	0.20756999999999998	0.0	0.030763799999999997	0.08666439999999999	0.0	0.099639	0.0	0.38503699999999996	0.0472154	0.0	0.0824232	0.046163300000000004	0.051003	0.17494500000000002	0.350697	0.0	0.0476266	0.0	0.0	0.054262300000000006	0.0	0.103527	0.0502024	0.157323	0.378366	0.109927	0.122299
TP53	TP53-005	0.48072700000000007	0.109578	0.0	0.694012	0.00549579	0.167748	0.133993	0.134819	0.086139	0.328685	0.0	0.21614	0.177744	0.17179	0.134168	0.07623289999999999	0.0	0.792379	5.06735e-07	0.129746	0.300164	0.0	0.0	0.571879	0.0	0.301755	0.444209	0.0	0.160863	0.0	0.07482380000000001	0.218608	0.7209270000000001	0.0	0.0	0.802042	0.171068	0.193244	0.127185	0.0802828	0.0778145	0.000256238	0.0	0.0	0.0905586	0.0	0.0	0.191367	0.254214	0.149497	0.0	0.0	0.317116	0.591623	0.0	0.0	0.0463967	0.155494	0.168766	0.0	0.523962	0.0073697	0.181254	0.246455	0.0660806	0.199559	0.501454	0.0	0.18193299999999998	0.128288	0.0	0.0	0.342213	0.138948	0.11581400000000001	0.0	0.154274	0.0643861	0.142181	0.110649
TP53	TP53-002	4.31326	5.23646	4.2990699999999995	2.81543	6.9101	1.273	0.271127	3.13827	7.641030000000001	6.077719999999999	1.0866799999999999	7.27066	4.80609	3.83871	3.49024	4.1147800000000005	0.0806671	3.16815	5.15965	3.27864	5.86566	4.2641599999999995	3.3104	5.460430000000001	1.74025	6.7035100000000005	4.50876	3.1371	5.54854	3.5197300000000005	2.74772	4.7872900000000005	8.328660000000001	2.24332	4.5623	5.17184	7.503839999999999	6.57251	4.95959	7.940230000000001	2.54997	7.203060000000001	6.24673	13.709000000000001	7.13806	3.5154	0.047514999999999995	6.029319999999999	2.83318	4.5593900000000005	5.8352900000000005	0.0749224	6.42354	5.890619999999999	5.48118	2.63619	3.50886	5.450069999999999	2.9636400000000003	4.68176	1.7265599999999999	3.01896	5.23252	3.03495	2.81763	1.78762	6.836069999999999	0.5891609999999999	4.7758199999999995	1.59438	6.42093	6.8039	3.50601	5.85912	0.290925	0.5765020000000001	6.7811	2.8951599999999997	4.01896	4.3582
TP53	TP53-004	0.0	0.08099810000000002	0.0	0.0	0.0	0.0	0.230767	0.0	0.0	0.08084780000000001	0.0	2.2714e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26045e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01559e-05	0.0	0.0	0.0	0.0	0.0	0.11988900000000001	3.47612e-08	2.54776e-07	3.60374e-08	0.0	0.0	0.18276199999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00626566	0.0	0.0	0.0	0.0	1.57354e-09	0.0	1.90535e-09	4.83332e-05	0.000466228	0.0	0.0	2.74458e-05	0.0	0.0	1.30638e-10	0.0	0.0	0.0	0.161455	0.0	0.0	0.0	0.138019	6.55038e-10	0.0	1.0973299999999999e-05	0.0	0.011427799999999998	0.0	4.55194e-06	0.000279055
TP53	TP53-003	0.0	0.0	0.08363430000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.232698	0.0	0.0	0.045529400000000005	0.0	0.0	0.0	0.0	0.0	0.0	7.45134e-08	0.0	0.0	0.0	0.0	0.0	0.0	1.8672899999999998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.73091e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0780169	0.0	0.0	0.0672036	0.0	0.08146039999999999	0.0	0.0	0.0
TP53	TP53-006	0.0	0.0	0.0	0.0	0.0	0.0	8.89054e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TP53	TP53-008	0.0	0.350718	10.1332	1.55324	0.475243	0.05974680000000001	3.3791900000000004	0.113131	0.0	2.57492	0.0	7.56463e-05	0.0	0.0916544	0.420349	5.720280000000001	0.0567941	0.187623	3.66036	0.810217	0.36857399999999996	0.0	0.0	0.509836	0.125801	0.841515	0.30077600000000004	0.0	4.9766699999999995	0.15489	0.422249	0.0554293	3.36723	0.773277	0.152146	0.418166	0.20808800000000002	0.0	0.709022	0.782393	3.07048	0.00045305800000000005	0.0	1.80336e-05	0.181091	2.96276	0.0	1.35629	0.19273099999999999	0.213577	0.77981	0.0	0.631839	0.47958999999999996	0.7083520000000001	8.20929	0.10378399999999999	0.527759	0.44647600000000004	0.17560599999999998	0.0705224	0.165376	0.496942	0.295404	0.07291689999999999	2.17634e-06	0.20900100000000002	0.13161199999999998	0.0	7.840110000000001	0.000128556	0.349082	8.22083	4.42019	10.3207	0.159992	0.255013	0.0677755	1.01797	0.823782
TP53	TP53-009	0.0	0.182551	0.0945954	0.138843	0.045200300000000006	0.0	0.0	0.044305199999999996	0.0429566	0.0	0.09757089999999999	0.027402299999999997	0.0	0.060658500000000004	0.120736	0.0	0.202102	0.292017	0.041464	0.101936	0.0309015	0.0	0.0524576	0.196822	0.0755612	0.12372999999999999	0.37658200000000003	0.0	0.0214167	0.0406835	0.14685399999999998	0.0	0.262798	0.049241599999999996	0.0	0.0657562	0.17598699999999998	0.06889880000000001	0.42890600000000006	0.0317284	0.057793399999999995	0.0	0.0605351	0.0	0.037695	0.0	0.0	0.0457954	0.10795199999999999	0.0	0.20238599999999998	0.14611300000000002	0.18313	0.1023	0.036881800000000006	0.0297347	0.21762399999999998	0.032912199999999996	0.0629374	0.0	0.255337	0.07622639999999999	0.230537	0.0717145	0.0727964	0.175826	0.0955218	0.237027	0.0323569	0.08684839999999999	0.0472274	0.0734344	0.23477699999999999	0.0	0.048307300000000004	0.0	0.127223	0.426396	0.0237505	0.185671
