,dataset,feature,feature_importance
0,CCLE-GE,TT,0.000323541454673
1,CCLE-GE,TT,0.000323541454673
2,CCLE-GE,SNU503,-0.00137797171793
3,CCLE-GE,BICR18,-0.00163153946538
4,CCLE-GE,LUDLU1,0.00219629680356
5,CCLE-GE,KYSE140,-0.00120140313025
6,CCLE-GE,KYSE180,-0.000161728319706
7,CCLE-GE,TE10,-0.001963237327
8,CCLE-GE,HARA,0.000912078556339
9,CCLE-GE,KYSE510,0.000131716929992
10,CCLE-GE,FADU,-0.000295181987055
11,CCLE-GE,SNU308,-0.000623559602874
12,CCLE-GE,L33,0.00121297483409
13,CCLE-GE,TE6,0.00179519843629
14,CCLE-GE,EPLC272H,-0.000415688946733
15,CCLE-GE,KNS62,0.000403484763369
16,CCLE-GE,SCABER,0.000605582090628
17,CCLE-GE,PECAPJ41CLONED2,0.000438768110498
18,CCLE-GE,SCC25,6.02170208149e-06
19,CCLE-GE,YD38,2.3907082405e-05
20,CCLE-GE,HSC2,0.0019841784217
21,CCLE-GE,YD10B,0.00254196406567
22,CCLE-GE,KYSE30,0.00291453140403
23,CCLE-GE,SCC15,0.000554093898611
24,CCLE-GE,BICR6,0.000641219399765
25,CCLE-GE,BICR56,0.00171605078502
26,CCLE-GE,BICR22,0.00310587370756
27,CCLE-GE,SNU1066,0.00120515926157
28,CCLE-GE,SNU1076,0.00291861149267
29,CCLE-GE,SNU899,0.00175364150013
30,CCLE-GE,PECAPJ15,0.00279714803545
31,CCLE-GE,CAL27,0.000333846319345
32,CCLE-GE,CAL33,0.0023457731414
33,CCLE-GE,TE5,0.00447544671285
34,CCLE-GE,HSC4,0.00266144263633
35,CCLE-GE,SCC4,0.000678491834302
36,CCLE-GE,SCC9,0.00310594934273
37,CCLE-GE,VMCUB1,0.00265444548111
38,CCLE-GE,BHY,0.00206485257844
39,CCLE-GE,PANC0213,0.00013768638449
40,CCLE-GE,TE9,0.000884985140551
41,CCLE-GE,SNU1041,0.00258696897349
42,CCLE-GE,PECAPJ34CLONEC12,0.000193746732278
43,CCLE-GE,PECAPJ49,0.000958421621821
44,CCLE-GE,BXPC3,-0.000456190453562
45,CCLE-GE,TE11,0.000462827969204
46,CCLE-GE,TE15,0.000812377218058
47,CCLE-GE,DETROIT562,-0.000195806965492
48,CCLE-GE,HSC3,0.0013250868021
49,CCLE-GE,YD15,0.00223759121679
50,CCLE-GE,KYSE520,0.00221966964476
51,CCLE-GE,KYSE270,-0.00239386158191
52,CCLE-GE,NCIH1648,-0.0017249368427
53,CCLE-GE,NCIH1666,0.00367560434068
54,CCLE-GE,EBC1,-0.000941112292401
55,CCLE-GE,PK1,0.00119545071051
56,CCLE-GE,DANG,-0.000534878663136
57,CCLE-GE,PC14,4.19435601836e-05
58,CCLE-GE,KYSE410,0.000974742628004
59,CCLE-GE,RT112,0.00109927178568
60,CCLE-GE,RT11284,0.00053919121827
61,CCLE-GE,SW780,0.0012277675152
62,CCLE-GE,CAL29,-0.00116021188353
63,CCLE-GE,RT4,-0.00112810943912
64,CCLE-GE,KYSE70,0.00100191611395
65,CCLE-GE,KYSE450,0.000452082733701
66,CCLE-GE,KYSE150,0.00167372038484
67,CCLE-GE,HEC265,0.000517268844636
68,CCLE-GE,HEC151,0.000451750599252
69,CCLE-GE,SW480,0.000722049414962
70,CCLE-GE,NCIH322,-0.000579376525647
71,CCLE-GE,CAL12T,0.00161120039529
72,CCLE-GE,RERFLCAD2,0.00105664649967
73,CCLE-GE,NCIH2085,0.00051710304105
74,CCLE-GE,HCC44,-0.00029106166677
75,CCLE-GE,HUPT3,0.000104515287771
76,CCLE-GE,PC3,0.00168789081755
77,CCLE-GE,NCIH441,-0.00148936324618
78,CCLE-GE,NCIH2087,-0.00334630558485
79,CCLE-GE,SW900,-0.00105501693223
80,CCLE-GE,NCIH2347,0.00011267466471
81,CCLE-GE,NCIH2291,-0.00214028711087
82,CCLE-GE,HCC1195,-0.00306133230835
83,CCLE-GE,NCIH1838,0.000593789188261
84,CCLE-GE,T3M10,0.00321704893694
85,CCLE-GE,RMUGS,0.000416053009898
86,CCLE-GE,BICR16,0.000829788837618
87,CCLE-GE,NUGC2,0.00146354385752
88,CCLE-GE,5637,0.000183107560078
89,CCLE-GE,NUGC3,0.000746848469646
90,CCLE-GE,NCIH2444,-0.00106395187465
91,CCLE-GE,CAL851,0.000290511178419
92,CCLE-GE,MDAMB468,-0.00165202640007
93,CCLE-GE,EFO27,0.00249509110293
94,CCLE-GE,HS766T,0.00116118907788
95,CCLE-GE,IGROV1,-0.000950598680169
96,CCLE-GE,OAW42,-0.000393115114371
97,CCLE-GE,JHH1,0.00100389601612
98,CCLE-GE,RMGI,-0.000569207116
99,CCLE-GE,OVTOKO,0.00101034253344
100,CCLE-GE,MFE319,0.000112538399431
101,CCLE-GE,EFE184,0.000547175558651
102,CCLE-GE,OVISE,-0.00198813963652
103,CCLE-GE,OVMANA,-0.0034657369333
104,CCLE-GE,OVSAHO,-0.00184010723127
105,CCLE-GE,KLE,-0.00438361337482
106,CCLE-GE,COV318,-0.00320292974665
107,CCLE-GE,CAOV4,0.000145166070207
108,CCLE-GE,MFE280,-0.00303498718836
