,dataset,feature,feature_importance
109,CCLE-GE,ONS76,0.00309509636542
110,CCLE-GE,JHUEM1,0.000362487534064
111,CCLE-GE,RL952,0.00190810069516
112,CCLE-GE,SNU216,0.00338621419215
113,CCLE-GE,SNUC2A,0.00107726357509
114,CCLE-GE,NCIH1568,-0.000932184524284
115,CCLE-GE,HT1376,0.000669634192439
116,CCLE-GE,NCIH1650,-0.000947383443242
117,CCLE-GE,HCC1937,0.00189217215448
118,CCLE-GE,BT20,-0.0013272281425
119,CCLE-GE,HCC1954,0.000948140232462
120,CCLE-GE,HCC70,-0.00090553058642
121,CCLE-GE,HCC1143,-0.00128840859496
122,CCLE-GE,ABC1,6.32793922114e-05
123,CCLE-GE,NCIH2342,-0.000394095593974
124,CCLE-GE,MKN74,0.000139891197563
125,CCLE-GE,RERFGC1B,-0.00170596196419
126,CCLE-GE,OUMS23,-0.00259756652746
127,CCLE-GE,NCIH2122,0.00155532010523
128,CCLE-GE,NCIH1437,0.0018194428213
129,CCLE-GE,MORCPR,0.00176237872359
130,CCLE-GE,NCIH1395,0.00373014786348
131,CCLE-GE,NCIH1573,0.000189534252553
132,CCLE-GE,NCIH1623,0.00152171258242
133,CCLE-GE,RERFLCKJ,0.000230308514226
134,CCLE-GE,NCIH2126,0.0013141649088
135,CCLE-GE,VCAP,-3.36115583586e-05
136,CCLE-GE,MDAPCA2B,0.00250878500419
137,CCLE-GE,LNCAPCLONEFGC,0.00179236358953
138,CCLE-GE,22RV1,0.00165061848201
139,CCLE-GE,EFM192A,0.000565994405333
140,CCLE-GE,MDAMB361,-0.00138724516489
141,CCLE-GE,BT474,0.00105632977802
142,CCLE-GE,MCF7,0.00065999445779
143,CCLE-GE,KPL1,0.000630388696152
144,CCLE-GE,CAMA1,0.00192009554647
145,CCLE-GE,T47D,0.00343857289855
146,CCLE-GE,HCC202,0.00297543565113
147,CCLE-GE,YMB1,0.0022705907706
148,CCLE-GE,ZR751,0.00529357197923
149,CCLE-GE,MDAMB175VII,0.00317601908559
150,CCLE-GE,HCC2218,0.00274899597764
151,CCLE-GE,BT483,0.0018933327184
152,CCLE-GE,HCC1419,0.00108535117276
153,CCLE-GE,ZR7530,0.00142503962826
154,CCLE-GE,HCC1428,-0.000459916707238
155,CCLE-GE,EFM19,-0.000641439112625
156,CCLE-GE,UACC812,0.00344674342362
157,CCLE-GE,MDAMB453,0.00127006748239
158,CCLE-GE,EVSAT,0.000465750061366
159,CCLE-GE,CAL148,0.00137212583198
160,CCLE-GE,AU565,-0.000513110793584
161,CCLE-GE,SKBR3,0.00141881265319
162,CCLE-GE,UACC893,0.000576315021017
163,CCLE-GE,MDAMB415,-0.00150440699074
164,CCLE-GE,MDAMB134VI,0.00308866634562
165,CCLE-GE,HCC1500,0.00418533880496
166,CCLE-GE,HCC1569,0.00124352951306
167,CCLE-GE,HCC2157,0.00241032849505
168,CCLE-GE,HCC1187,-0.00166650734204
169,CCLE-GE,MCAS,0.000514300285371
170,CCLE-GE,SQ1,-0.000995337394357
171,CCLE-GE,CORL23,-0.000912938507092
172,CCLE-GE,PANC1005,0.00134768878981
173,CCLE-GE,PL45,0.0015514307414
174,CCLE-GE,PATU8902,0.00176360772474
175,CCLE-GE,PANC0203,0.00254120385959
176,CCLE-GE,NCIH1373,0.000264352731691
177,CCLE-GE,PANC0813,0.000573932519666
178,CCLE-GE,PANC0504,0.000566651790723
179,CCLE-GE,HUPT4,0.000493385675331
180,CCLE-GE,PANC0327,0.000484444279396
181,CCLE-GE,HUCCT1,0.00160943314926
182,CCLE-GE,CAPAN2,0.000751693360565
183,CCLE-GE,PANC0403,0.00215671566885
184,CCLE-GE,CFPAC1,-0.00120027059235
185,CCLE-GE,ASPC1,0.00090681224577
186,CCLE-GE,HPAFII,-0.00152223523632
187,CCLE-GE,TCCPAN2,0.00291071774949
188,CCLE-GE,CAPAN1,0.000685686547461
189,CCLE-GE,CALU3,-0.00264551953096
190,CCLE-GE,KCIMOH1,0.00318856743881
191,CCLE-GE,HPAC,0.00418363546063
192,CCLE-GE,PK59,0.00164769619701
193,CCLE-GE,NCIH747,0.000328780389366
194,CCLE-GE,SW1417,0.000631767140866
195,CCLE-GE,LS123,0.000451616425045
196,CCLE-GE,SNU1197,0.00132283186534
197,CCLE-GE,CL11,-0.000142855014774
198,CCLE-GE,SNU1033,0.00138191806882
199,CCLE-GE,NCIN87,0.000416645924539
200,CCLE-GE,KP2,0.0021111502137
201,CCLE-GE,COLO678,0.00201601085504
202,CCLE-GE,SNUC5,0.00252705178162
203,CCLE-GE,TGBC11TKB,0.00193302714836
204,CCLE-GE,LS180,0.000362847889838
205,CCLE-GE,SNUC4,0.000696947830252
206,CCLE-GE,CL34,-0.000140859184
207,CCLE-GE,HT115,-0.00172164550663
208,CCLE-GE,CW2,-0.000714154620362
209,CCLE-GE,SNU620,0.00384429907021
210,CCLE-GE,GSU,0.000135405862781
211,CCLE-GE,SNU520,0.000360017713674
212,CCLE-GE,JHOM2B,-0.00148945931385
213,CCLE-GE,SNU81,0.000463667794357
214,CCLE-GE,2313287,0.0036500219119
215,CCLE-GE,SW48,0.000831448626839
216,CCLE-GE,LS411N,-0.00040853965696
217,CCLE-GE,LOVO,-0.000401560416398
218,CCLE-GE,CCK81,-0.000860347392042
219,CCLE-GE,GP2D,-0.000591057176363
220,CCLE-GE,SKCO1,0.00107738004989
221,CCLE-GE,SNU407,0.000557420168848
222,CCLE-GE,MKN45,-0.00373702013939
223,CCLE-GE,SW1463,1.10781251715e-05
224,CCLE-GE,SNU283,-0.000288040798661
225,CCLE-GE,SNU245,-8.66173927534e-05
226,CCLE-GE,SNUC1,0.000835530131831
227,CCLE-GE,PATU8988S,0.00205476585216
228,CCLE-GE,OCUM1,0.000398890707261
229,CCLE-GE,NCIH508,0.00190761828338
230,CCLE-GE,SW1116,-0.00176898576391
231,CCLE-GE,RCM1,5.29291142445e-05
232,CCLE-GE,NUGC4,-0.000860737322838
233,CCLE-GE,SW403,0.00186432123775
234,CCLE-GE,SW948,0.0036900613829
235,CCLE-GE,HCC56,0.000139739733678
236,CCLE-GE,LS1034,5.12150342363e-05
237,CCLE-GE,HT55,-0.000613816764921
238,CCLE-GE,LS513,-0.000332744793227
239,CCLE-GE,HCC1588,0.0021304314953
240,CCLE-GE,T84,-0.00411630589515
241,CCLE-GE,SNU61,-0.00112637671037
242,CCLE-GE,NCIH684,-0.00107736385057
243,CCLE-GE,CL40,-0.00150089595574
244,CCLE-GE,CL14,-0.0026783675139
245,CCLE-GE,HT29,-0.000740904722807
246,CCLE-GE,OE19,0.00278373561321
247,CCLE-GE,SNU16,-0.00122936214612
248,CCLE-GE,COLO201,0.00206016211556
249,CCLE-GE,COLO205,0.00212886892565
250,CCLE-GE,HUG1N,-0.00323323325725
251,CCLE-GE,KATOIII,0.000869299313649
252,CCLE-GE,IM95,0.00155054519726
253,CCLE-GE,DV90,0.00223246646081
254,CCLE-GE,KE39,0.00197616225058
255,CCLE-GE,SNU1040,-0.000693039454751
256,CCLE-GE,SNU175,-0.000258581307795
257,CCLE-GE,SNU719,-4.37990012319e-05
258,CCLE-GE,NCIH854,0.00155746757554
259,CCLE-GE,SNU478,-0.0030956154788
260,CCLE-GE,NCIH2170,0.00147957055994
261,CCLE-GE,SNU1196,0.00204382906149
262,CCLE-GE,NCIH1435,-1.59511328493e-05
263,CCLE-GE,AGS,0.000852239717811
264,CCLE-GE,HEPG2,0.00163336558547
265,CCLE-GE,C3A,0.00168081853318
266,CCLE-GE,FU97,-0.00121908694974
267,CCLE-GE,HUH1,0.000130615860714
268,CCLE-GE,JHH5,0.000706792145105
269,CCLE-GE,JHH7,-0.00292502641097
270,CCLE-GE,HUH7,0.00135226602079
271,CCLE-GE,HEP3B217,-0.00176421341448
272,CCLE-GE,C2BBE1,-0.000385672964307
273,CCLE-GE,HUH6,-0.00232298557085
274,CCLE-GE,PLCPRF5,-0.000406422869721
275,CCLE-GE,ALEXANDERCELLS,-0.0019075163821
276,CCLE-GE,OV90,-7.8458552184e-05
277,CCLE-GE,OC316,-0.000490917112008
278,CCLE-GE,OC315,-0.000548731295074
279,CCLE-GE,OC314,5.6759412565e-05
280,CCLE-GE,HEC108,0.00136294017364
281,CCLE-GE,SNGM,0.00163229481004
282,CCLE-GE,HEC1A,0.000772260081276
283,CCLE-GE,HEC1B,0.00195135873299
284,CCLE-GE,JHOC5,-0.000332328218496
285,CCLE-GE,TEN,-0.00271407900203
286,CCLE-GE,HEC251,-0.00170052714655
287,CCLE-GE,FUOV1,-0.00293567304695
288,CCLE-GE,SNU1077,-0.000381318056262
289,CCLE-GE,KURAMOCHI,0.000422438320321
290,CCLE-GE,NIHOVCAR3,-0.00207148494944
291,CCLE-GE,ONCODG1,-0.00341734803035
292,CCLE-GE,OVCAR4,-0.00113674244426
293,CCLE-GE,JHOS4,-0.00180564989384
294,CCLE-GE,CAOV3,-0.00329970949696
295,CCLE-GE,JHOS2,0.000484737010091
296,CCLE-GE,OVKATE,0.00311297509522
297,CCLE-GE,EFO21,-0.00238071764863
298,CCLE-GE,JHUEM3,0.000216527669771
299,CCLE-GE,SNU213,0.00330232687993
300,CCLE-GE,HCC1171,0.00222115845437
301,CCLE-GE,RERFLCAD1,-0.00210458596869
302,CCLE-GE,SNU119,-0.00210521177057
303,CCLE-GE,TE8,0.00139031899322
304,CCLE-GE,YAPC,-0.000283198109873
305,CCLE-GE,LI7,0.00187501777771
306,CCLE-GE,BHT101,-0.00245301059089
307,CCLE-GE,LCLC97TM1,-0.000985064319646
308,CCLE-GE,ML1,-0.00158943839526
309,CCLE-GE,NCIH2405,9.25873831421e-05
310,CCLE-GE,TE4,-0.000426291716895
311,CCLE-GE,NCIH727,-0.00254762707606
312,CCLE-GE,CORL105,0.00467213103297
313,CCLE-GE,NCIH596,0.000318783765994
314,CCLE-GE,KMBC2,0.00190542120087
315,CCLE-GE,BC3C,0.0022281096718
316,CCLE-GE,TE14,0.00287208911782
317,CCLE-GE,SNU1214,0.00190544369739
318,CCLE-GE,CJM,0.0029414153271
319,CCLE-GE,VMRCLCP,-0.000719864055643
320,CCLE-GE,BFTC905,-0.00081733190719
321,CCLE-GE,HCC78,0.00010782070137
322,CCLE-GE,NCIH1869,-0.00211882649898
323,CCLE-GE,SNU324,0.00246128525835
324,CCLE-GE,NCIH1781,-0.00129807902966
325,CCLE-GE,HCC2935,-0.00118273408668
326,CCLE-GE,NCIH3255,-0.00136399188395
327,CCLE-GE,HCC4006,-0.00443980040247
328,CCLE-GE,LXF289,0.00120955827858
329,CCLE-GE,COLO680N,0.00076830984152
330,CCLE-GE,SU8686,-0.00174652090446
331,CCLE-GE,ECGI10,0.00135038081103
332,CCLE-GE,HDQP1,0.00153337130879
333,CCLE-GE,HCC1806,0.000725622266649
334,CCLE-GE,UBLC1,-0.00107472945244
335,CCLE-GE,DU145,0.00289876706124
336,CCLE-GE,TE1,2.29311907516e-05
337,CCLE-GE,NCIH1734,-0.000800756908142
338,CCLE-GE,HCC38,0.00158115880502
339,CCLE-GE,NCIH358,0.00122693525468
340,CCLE-GE,NCIH2009,-3.30719483142e-05
341,CCLE-GE,HCC827,-0.00137301341019
342,CCLE-GE,KU1919,-0.00120608248917
343,CCLE-GE,59M,-0.000334240409869
344,CCLE-GE,SNU685,0.00117958743441
345,CCLE-GE,TCCSUP,0.00292015133803
346,CCLE-GE,SNU886,0.00165740525404
347,CCLE-GE,GB1,-0.00196426657051
348,CCLE-GE,RH30,0.000787585355567
349,CCLE-GE,SNU668,0.00452581955663
350,CCLE-GE,NCIH292,0.000989593787285
351,CCLE-GE,NCIH292,0.000989593787285
352,CCLE-GE,UMUC1,0.00386540695077
353,CCLE-GE,KLM1,-0.000872811305462
354,CCLE-GE,NCCSTCK140,0.00316827367303
355,CCLE-GE,HCT8,0.00205737616933
356,CCLE-GE,SNU601,-0.0008760917634
357,CCLE-GE,PSN1,0.00157498430762
358,CCLE-GE,GRM,0.00134679434641
359,CCLE-GE,MKN7,0.00246470369678
360,CCLE-GE,647V,-0.00096527623691
361,CCLE-GE,JIMT1,0.000964554751818
362,CCLE-GE,SNU840,-0.000336144343215
363,CCLE-GE,SNU8,-0.0022324765163
364,CCLE-GE,HEC59,-0.00470819695715
365,CCLE-GE,DAOY,-0.00740702434339
366,CCLE-GE,COV362,-0.00473552903304
367,CCLE-GE,NCIH2172,-0.00076636916742
368,CCLE-GE,NCIH2110,-0.00131473453515
369,CCLE-GE,CHAGOK1,-0.00264372859316
370,CCLE-GE,SUIT2,-0.00179780087319
371,CCLE-GE,SW837,-0.00247867155006
372,CCLE-GE,HCC95,-0.000317684480818
373,CCLE-GE,A253,0.000323950512554
374,CCLE-GE,BICR31,-0.00142273143788
375,CCLE-GE,LC1SQSF,-0.00143938507291
376,CCLE-GE,LC1F,-0.00270739983108
377,CCLE-GE,OAW28,-0.00265522314259
378,CCLE-GE,HT1197,-0.00129647324363
379,CCLE-GE,FTC238,-0.00158947903552
380,CCLE-GE,HCC1359,-0.00109124499954
381,CCLE-GE,SKHEP1,-0.00184676173188
382,CCLE-GE,OVCAR8,-0.0021506091899
383,CCLE-GE,HCC366,-0.00305531195498
384,CCLE-GE,JHH6,0.00144734852313
385,CCLE-GE,PK45H,0.000208181244122
386,CCLE-GE,COLO818,-0.00205204541979
387,CCLE-GE,WM983B,0.000239934637517
388,CCLE-GE,COLO792,0.00366244757495
389,CCLE-GE,SNU738,-0.00294036838744
390,CCLE-GE,SNU878,-0.002524484558
391,CCLE-GE,SNU869,-0.00263377956434
392,CCLE-GE,T3M4,-0.00108264664557
393,CCLE-GE,COV434,-0.00196684499029
394,CCLE-GE,KYM1,-0.0015617498022
395,CCLE-GE,KASUMI1,-0.0017927523911
396,CCLE-GE,NCIH2286,-0.000656819243925
397,CCLE-GE,HCC1438,-0.00185261351916
398,CCLE-GE,HCC2108,-0.00111184493445
399,CCLE-GE,NCIH1339,-0.000555372088169
400,CCLE-GE,NCIH650,-0.00058508311775
401,CCLE-GE,SW1573,0.00132708578219
402,CCLE-GE,TOV21G,0.000250517050453
403,CCLE-GE,CAKI2,-0.00161790381292
404,CCLE-GE,769P,3.74460253346e-05
405,CCLE-GE,KMRC1,0.000882411700022
406,CCLE-GE,KMRC2,-4.78167027306e-05
407,CCLE-GE,786O,-0.00147097276356
408,CCLE-GE,VMRCRCZ,-0.00121982350776
409,CCLE-GE,KMRC20,0.000701894084151
410,CCLE-GE,ACHN,-0.000742346972714
411,CCLE-GE,TUHR4TKB,-0.000795367209153
412,CCLE-GE,SNU1272,0.002334341323
413,CCLE-GE,TUHR10TKB,-0.00134208047724
414,CCLE-GE,RCC10RGB,5.80946806005e-05
415,CCLE-GE,TUHR14TKB,0.000120223389983
416,CCLE-GE,OSRC2,0.00011246787612
417,CCLE-GE,SW1710,0.00182551094116
418,CCLE-GE,CAL54,0.0005456106289
419,CCLE-GE,KMRC3,0.00271695460608
420,CCLE-GE,SNU349,-0.00435385279423
421,CCLE-GE,JHH2,0.000153758589068
422,CCLE-GE,SNU761,0.00347673927907
423,CCLE-GE,NCIH28,5.58369516385e-05
424,CCLE-GE,A498,0.00137123589014
425,CCLE-GE,VMRCRCW,-0.00123007575239
426,CCLE-GE,CAKI1,-7.79971356056e-05
427,CCLE-GE,253J,-0.000615020117962
428,CCLE-GE,253JBV,-0.00102531944694
429,CCLE-GE,A704,0.00299174589951
430,CCLE-GE,SNU449,0.00375093093737
431,CCLE-GE,SNU1079,0.00101563676549
432,CCLE-GE,COV644,-0.00148052465903
433,CCLE-GE,KP3,0.000473978466655
434,CCLE-GE,JHH4,0.00243906516331
435,CCLE-GE,HLF,4.89217433702e-05
436,CCLE-GE,HLE,-0.00186299353335
437,CCLE-GE,GCIY,-0.000717444191719
438,CCLE-GE,NCIH2030,-0.000766034244975
439,CCLE-GE,NCIH1355,0.000716712996306
440,CCLE-GE,A549,0.000710366285478
441,CCLE-GE,NCIH2023,0.000355871119249
442,CCLE-GE,NCIH460,0.000493892246053
443,CCLE-GE,RERFLCMS,-2.01516507356e-05
444,CCLE-GE,NCIH1944,0.00267749485792
445,CCLE-GE,HCC15,-0.00109684311977
446,CCLE-GE,NCIH647,-0.000393803036342
447,CCLE-GE,NCIH1651,-0.00153160149198
448,CCLE-GE,SKOV3,0.000568725675063
449,CCLE-GE,NCIH1563,0.00485404593292
450,CCLE-GE,NCIH1975,0.00134589599648
451,CCLE-GE,NCIH2228,-0.00044415815395
452,CCLE-GE,HCC2279,-0.00308478945589
453,CCLE-GE,SKMES1,-0.00141445669362
454,CCLE-GE,NCIH1793,0.00213616849958
455,CCLE-GE,COV504,-0.00139108947607
456,CCLE-GE,LCLC103H,-0.00204493626183
457,CCLE-GE,TT2609C02,0.00128689771293
458,CCLE-GE,CAL120,0.00152245206998
459,CCLE-GE,LMSU,0.000313313547941
460,CCLE-GE,JMSU1,0.000486697635402
461,CCLE-GE,NCIH2052,0.0010615712729
462,CCLE-GE,T24,0.000695904893426
463,CCLE-GE,8505C,9.12075719785e-05
464,CCLE-GE,8305C,0.0023486948142
465,CCLE-GE,CAL62,0.000475239484324
466,CCLE-GE,MOGGUVW,-0.00167912958484
467,CCLE-GE,8MGBA,-0.00127797309032
468,CCLE-GE,1321N1,-0.000406111949575
469,CCLE-GE,ESS1,-1.53300250465e-05
470,CCLE-GE,HDMYZ,-3.49597552919e-05
471,CCLE-GE,HS746T,0.00184597104238
472,CCLE-GE,IALM,-0.00165861231307
473,CCLE-GE,CAS1,0.000528672613953
474,CCLE-GE,KG1C,0.000603380120818
475,CCLE-GE,SNU1105,-0.00145421364633
476,CCLE-GE,SNU489,-0.000844586944196
477,CCLE-GE,SNU201,-0.00165835159471
478,CCLE-GE,MOGGCCM,-0.00141304793172
479,CCLE-GE,KALS1,-0.00292109568956
480,CCLE-GE,SNU466,8.37003626461e-05
481,CCLE-GE,HS706T,-0.00075274992124
482,CCLE-GE,HS870T,-6.3824321577e-05
483,CCLE-GE,HS571T,0.000418413466451
484,CCLE-GE,HS940T,-0.000505165034854
485,CCLE-GE,HS616T,-0.000637179359935
486,CCLE-GE,HS600T,-2.15917545395e-05
487,CCLE-GE,HS819T,0.000330817637689
488,CCLE-GE,HS822T,7.3530089359e-05
489,CCLE-GE,HS737T,-6.40145739839e-05
490,CCLE-GE,HS688AT,-0.000152655294827
491,CCLE-GE,HS606T,-0.000246703076592
492,CCLE-GE,HS739T,-0.000383314968278
493,CCLE-GE,HS742T,0.000892938120758
494,CCLE-GE,DM3,0.000905557633282
495,CCLE-GE,RS5,0.000321542695855
496,CCLE-GE,HS274T,-0.00117908111045
497,CCLE-GE,HS834T,-0.000804321898114
498,CCLE-GE,HS698T,-0.00022465854749
499,CCLE-GE,HS821T,-0.00154968830937
500,CCLE-GE,TE125T,0.00128433756515
501,CCLE-GE,HS934T,-0.00103358395831
502,CCLE-GE,HS281T,-0.00104889761254
503,CCLE-GE,HS343T,-0.00161310988682
504,CCLE-GE,HS863T,-0.000590093181695
505,CCLE-GE,T173,-0.00107142621669
506,CCLE-GE,HS839T,-0.000548853565163
507,CCLE-GE,TE159T,0.000700455805905
508,CCLE-GE,TO175T,-0.00064294217549
509,CCLE-GE,HLFA,0.000505857670122
510,CCLE-GE,HS618T,7.9905558558e-05
511,CCLE-GE,HS840T,-0.000422892170048
512,CCLE-GE,HS895T,0.00225413742666
513,CCLE-GE,HS229T,0.000229050063993
514,CCLE-GE,HS888T,-0.000691726044181
515,CCLE-GE,HS675T,0.000814250599054
516,CCLE-GE,HS172T,0.00283113006291
517,CCLE-GE,HS751T,-0.00244359657434
518,CCLE-GE,HS255T,-0.00072340400182
519,CCLE-GE,DKMG,-0.00296819585169
520,CCLE-GE,HS604T,-0.000657026419018
521,CCLE-GE,HS578T,-0.00166073665594
522,CCLE-GE,RH18,-0.000978291952697
523,CCLE-GE,SW1353,-0.0010225399225
524,CCLE-GE,OUMS27,4.81799052479e-05
525,CCLE-GE,HS683,-0.000718531038755
526,CCLE-GE,SW1783,0.000617571579636
527,CCLE-GE,SW1088,-0.000653432841428
528,CCLE-GE,BECKER,-0.000735549827375
529,CCLE-GE,CCFSTTG1,-0.000827276608401
530,CCLE-GE,YH13,-0.00147221448694
531,CCLE-GE,U138MG,0.0031325143166
532,CCLE-GE,U118MG,0.000304098095219
533,CCLE-GE,SKLMS1,0.000406683426709
534,CCLE-GE,HS729,-0.00134654968924
535,CCLE-GE,CAL78,-0.00163693930751
536,CCLE-GE,SF126,-0.00069466571049
537,CCLE-GE,42MGBA,-0.00218569780613
538,CCLE-GE,SW579,-0.00197854834079
539,CCLE-GE,CGTHW1,-0.00196609241363
540,CCLE-GE,M059K,-0.00230073739432
541,CCLE-GE,GMS10,0.000523949648455
542,CCLE-GE,NCIH196,0.000914676698015
543,CCLE-GE,SJSA1,-0.000827902701547
544,CCLE-GE,RERFLCSQ1,-0.00017850442736
545,CCLE-GE,KNS60,-0.000630453376234
546,CCLE-GE,A172,0.00268633643594
547,CCLE-GE,KS1,0.0015831472173
548,CCLE-GE,DBTRG05MG,0.00121469907594
549,CCLE-GE,NMCG1,-0.000851225530409
550,CCLE-GE,TM31,-0.00109033121358
551,CCLE-GE,YKG1,0.000652848406775
552,CCLE-GE,SNB19,-0.00184860531733
553,CCLE-GE,U251MG,0.000373424393766
554,CCLE-GE,RPMI7951,-0.000528176257725
555,CCLE-GE,WM793,0.000168583791032
556,CCLE-GE,MDST8,0.00305552191768
557,CCLE-GE,FTC133,-5.48598317769e-05
558,CCLE-GE,OV7,0.000694823605059
559,CCLE-GE,SNU475,0.00118620012465
560,CCLE-GE,JHOM1,0.00193762046239
561,CCLE-GE,YD8,0.000960975026295
562,CCLE-GE,BCPAP,-0.00298074905619
563,CCLE-GE,GOS3,0.000811437236512
564,CCLE-GE,KNS81,-0.00138818386217
565,CCLE-GE,SNU626,-0.00336674951709
566,CCLE-GE,KNS42,-0.00119199620679
567,CCLE-GE,G292CLONEA141B1,-0.000449903940173
568,CCLE-GE,MG63,-0.000628339311313
569,CCLE-GE,NCIH226,-0.00213070574164
570,CCLE-GE,ISTMES2,-0.000892912018278
571,CCLE-GE,ISTMES1,-0.000931195648482
572,CCLE-GE,NCIH2452,-0.00224306138847
573,CCLE-GE,JL1,-0.0034488278197
574,CCLE-GE,MDAMB157,0.00245553412431
575,CCLE-GE,MPP89,0.000920879128999
576,CCLE-GE,SNU182,-0.00230500559679
577,CCLE-GE,MKN1,-0.000580428897147
578,CCLE-GE,LN18,-0.00259813521231
